datadate,tic,adjcp,open,high,low,volume,macd,rsi,ema,boll,turbulence
200711270000,USDJPY1440,107.37,109.145,107.295,108.82,1428113,0.0,100.0,107.37,107.37,0.0
200711280000,USDJPY1440,108.82,110.48,108.255,109.965,2263893,0.032532051282032626,100.0,108.1675,108.095,0.0
200711290000,USDJPY1440,109.965,110.305,109.47,109.77,1336722,0.07695867200420992,100.0,108.8900830564784,108.71833333333332,0.0
200711300000,USDJPY1440,109.77,111.22,109.675,111.12,1301622,0.08823830764073648,92.660281878633,109.17997648514852,108.98125,0.0
200712020000,USDJPY1440,111.01,111.02,110.85,110.92,26682,0.14185230821000516,95.0501789988318,109.70532646418697,109.38699999999999,0.0
200712030000,USDJPY1440,110.92,111.01,110.13,110.45,639485,0.16756678897081656,92.78184547000467,110.02081913847046,109.6425,0.0
200712040000,USDJPY1440,110.455,110.52,109.555,109.845,623475,0.1601061727940447,82.28608151506623,110.12543928463441,109.75857142857141,0.0
200712050000,USDJPY1440,109.845,110.96,109.755,110.915,703952,0.12351782288644131,71.3350690481439,110.06163799586673,109.769375,0.0
200712060000,USDJPY1440,110.915,111.46,110.62,111.375,591362,0.1493882970414404,76.91092582909846,110.24729970518825,109.89666666666668,0.0
200712070000,USDJPY1440,111.375,111.785,111.165,111.725,510060,0.1892609854109395,78.74928968241323,110.48418010437538,110.0445,0.0
200712090000,USDJPY1440,111.43,111.675,111.345,111.65,35451,0.2183495493257226,78.95652819204435,110.67739928446625,110.17045454545455,0.0
200712100000,USDJPY1440,111.65,111.91,111.455,111.81,867767,0.24879003576808145,79.7727660879179,110.87172312737303,110.29375,0.0
200712110000,USDJPY1440,111.81,112.135,110.475,110.88,709596,0.27710333027215484,80.34630659651408,111.05587802641566,110.41038461538461,0.0
200712120000,USDJPY1440,110.88,112.465,110.795,112.02,1406173,0.24079797548147042,68.642965551,111.0218503147163,110.44392857142857,0.0
200712130000,USDJPY1440,112.025,112.46,111.405,112.32,623942,0.27829207785531196,73.54996480981093,111.2136970424044,110.54933333333334,0.0
200712140000,USDJPY1440,112.315,113.585,112.275,113.415,925844,0.32083294685260455,74.59173468087872,111.42234824552243,110.6596875,0.0
