datadate,tic,adjcp,open,high,low,volume,macd,rsi,ema,boll,turbulence
202010010000,EURUSD60,1.17234,1.17279,1.17171,1.17182,38415,0.0,0.0,1.17234,1.17234,0.0
202010010100,EURUSD60,1.17182,1.17435,1.17177,1.17339,40377,-1.1666666666521053e-05,0.0,1.172054,1.17208,0.0
202010010200,EURUSD60,1.1734,1.17423,1.1733,1.17408,22499,3.413005644481437e-05,75.86427656850609,1.1725950830564782,1.17252,0.0
202010010300,EURUSD60,1.17408,1.17474,1.17386,1.17435,15842,7.867400386829537e-05,81.95815043401142,1.1730842970297028,1.17291,0.0
202010010400,EURUSD60,1.17436,1.17484,1.17401,1.17472,14763,0.00011236407720738306,83.71010850097638,1.173450516656536,1.1732,0.0
202010010500,EURUSD60,1.1747,1.17511,1.17423,1.17474,28659,0.0001450429081799598,85.48111464655405,1.1737750506402607,1.17345,0.0
202010010600,EURUSD60,1.17474,1.17576,1.1744,1.17531,49721,0.00016531391463647793,85.67071137456476,1.17400756467301,1.1736342857142859,0.0
202010010700,EURUSD60,1.17534,1.17573,1.17231,1.17363,86142,0.0002047841038441689,88.08507828977181,1.1743107001312691,1.1738475,0.0
202010010800,EURUSD60,1.17361,1.17427,1.17221,1.17243,100934,0.00014316899291388907,58.622936316927785,1.1741582523031926,1.173821111111111,0.0
202010010900,EURUSD60,1.17244,1.17492,1.17236,1.17477,82426,3.711200747069654e-05,47.50624196406186,1.1737973228138971,1.173683,0.0
202010011000,EURUSD60,1.17478,1.17508,1.17372,1.17432,64272,8.461791865377322e-05,62.29814542816054,1.173998071477645,1.1737827272727273,0.0
202010011100,EURUSD60,1.17432,1.17696,1.17412,1.17628,102685,9.302742042960332e-05,58.92172085673468,1.1740623922072169,1.1738275,0.0
202010011200,EURUSD60,1.17628,1.17675,1.1751,1.17546,75115,0.0002087469007365783,66.84275475590408,1.1744976404277692,1.1740161538461538,0.0
202010011300,EURUSD60,1.17546,1.17591,1.17312,1.1738,113208,0.00024512922665054226,61.694094201139706,1.1746838313621477,1.1741192857142857,0.0
202010011400,EURUSD60,1.17386,1.1746,1.17212,1.17363,112972,0.00017449276563175076,53.39269746575427,1.1745262782538595,1.174102,0.0
202010011500,EURUSD60,1.17363,1.17558,1.17338,1.17515,102979,0.00010475164693879435,52.345288503636176,1.1743564707229648,1.1740725,0.0
202010011600,EURUSD60,1.17513,1.17528,1.17381,1.17445,74438,0.00014309118982791524,57.915178209644395,1.1745019112060635,1.174134705882353,0.0
202010011700,EURUSD60,1.17446,1.17459,1.17385,1.17409,46295,0.00012845305517261707,54.94763821146853,1.1744940795650558,1.1741527777777778,0.0
202010011800,EURUSD60,1.17409,1.1747,1.17348,1.1746,65774,9.190604806730285e-05,53.384946969671205,1.1744189511540721,1.1741494736842106,0.0
202010011900,EURUSD60,1.1746,1.175,1.17415,1.17495,47568,9.58725093924695e-05,55.20162561739398,1.174452474954606,1.174172,0.0
202010012000,EURUSD60,1.17493,1.17506,1.17435,1.1746,17134,0.00011962059482817367,56.340555928171064,1.1745406007042898,1.1743015,0.0
202010012100,EURUSD60,1.17489,1.17489,1.17424,1.17445,963,0.0001338982411169809,56.161518822325164,1.174604905780526,1.174455,0.0
202010012200,EURUSD60,1.17445,1.17478,1.1743,1.17446,8743,0.00011349114005754224,54.20154823141707,1.174576459533168,1.1745075,0.0
202010012300,EURUSD60,1.17446,1.1745,1.17429,1.17439,8110,9.698930442980647e-05,54.23909528764274,1.1745551121946758,1.1745265,0.0
202010020000,EURUSD60,1.17439,1.17445,1.17335,1.17347,30549,7.81510656617801e-05,53.91899344855776,1.17452489155638,1.174528,0.0
202010020100,EURUSD60,1.17346,1.1737,1.173,1.17314,41262,-2.7307796417463948e-06,49.87365299820152,1.1743302195539016,1.174466,0.0
202010020200,EURUSD60,1.17316,1.1733,1.1714,1.17196,42025,-8.698186014055587e-05,48.65548641304962,1.1741165044229878,1.1743869999999998,0.0
202010020300,EURUSD60,1.17196,1.17215,1.1716,1.17161,44878,-0.0002374667499416283,44.189309085341044,1.1737229845996044,1.1742180000000002,0.0
202010020400,EURUSD60,1.1716,1.17179,1.1703,1.17059,43363,-0.0003780695660278166,42.96534970117118,1.1733358378691727,1.1741175,0.0
202010020500,EURUSD60,1.17059,1.1732,1.16956,1.17221,106319,-0.0005568011718721788,39.76843924576697,1.1728353788170451,1.1740249999999999,0.0
202010020600,EURUSD60,1.17223,1.17386,1.17196,1.17371,102677,-0.000569999609426608,46.46012043915384,1.1727250907247502,1.1738975,0.0
202010020700,EURUSD60,1.17373,1.17416,1.17158,1.17231,104703,-0.00046330284057494175,51.552843763917565,1.1729080991243213,1.173868,0.0
202010020800,EURUSD60,1.17229,1.17315,1.17114,1.17135,87297,-0.0004811886659179532,47.10327159546263,1.1727955677322273,1.1736685,0.0
202010020900,EURUSD60,1.17136,1.17258,1.17086,1.17189,54484,-0.0005588703357020108,44.53516857289879,1.1725342709527724,1.1734635,0.0
202010021000,EURUSD60,1.1719,1.17241,1.17102,1.17126,64949,-0.0005727639488435354,46.293976581672226,1.1724188461495522,1.1733655,0.0
202010021100,EURUSD60,1.17128,1.17247,1.17023,1.17239,72319,-0.0006236611975083406,44.61366498246643,1.1722116322008522,1.1732479999999998,0.0
202010021200,EURUSD60,1.17239,1.17337,1.16986,1.17082,64243,-0.0005724674362663773,48.10239378126916,1.172244082058689,1.173111,0.0
202010021300,EURUSD60,1.17082,1.17215,1.16996,1.17123,92171,-0.0006448954098716708,44.04316924783416,1.1719850316682445,1.172929,0.0
202010021400,EURUSD60,1.17123,1.17247,1.17046,1.1714,86756,-0.0006629595835860869,45.29040161635574,1.1718476983656363,1.1727859999999999,0.0
202010021500,EURUSD60,1.1714,1.17211,1.17051,1.17056,72655,-0.0006565020976565528,45.80850179663467,1.1717662720703865,1.172626,0.0
202010021600,EURUSD60,1.17055,1.1722,1.17016,1.17176,80972,-0.0007090577947690413,43.66945047413687,1.171545072588588,1.172407,0.0
202010021700,EURUSD60,1.17175,1.17214,1.17132,1.17139,56904,-0.0006498317606817849,47.265731486828365,1.1715823402654466,1.17225,0.0
202010021800,EURUSD60,1.17141,1.17193,1.17117,1.17122,60517,-0.0006222214573723406,46.3975203922544,1.1715510000658438,1.172098,0.0
202010021900,EURUSD60,1.17122,1.17163,1.17095,1.17116,45927,-0.00060815777209422,45.91000955803154,1.1714908094267995,1.171936,0.0
202010022000,EURUSD60,1.17119,1.17171,1.17104,1.17157,27629,-0.0005925053745854392,45.83135152619787,1.1714361102540234,1.171776,0.0
202010042100,EURUSD60,1.1711,1.17154,1.17053,1.17122,678,-0.0005804529077457765,45.58894753294445,1.171374993311136,1.171658,0.0
202010042200,EURUSD60,1.17121,1.17172,1.17087,1.17147,10287,-0.0005558159149570141,45.95039324472006,1.1713449921224863,1.1715605,0.0
202010042300,EURUSD60,1.17149,1.17201,1.17129,1.17195,23573,-0.0005083419360878416,46.879586397777544,1.1713713589203398,1.171537,0.0
202010050000,EURUSD60,1.17195,1.17288,1.17176,1.17251,33876,-0.0004294358866958614,48.3875504576653,1.171476572034984,1.1715545,0.0
202010050100,EURUSD60,1.17251,1.17357,1.17214,1.1734,41397,-0.00031893685304784647,50.16903592815423,1.1716644762781265,1.1716505,0.0
202010050200,EURUSD60,1.17339,1.17351,1.17298,1.17319,30372,-0.00015983049851575615,52.81653343972484,1.1719782191336872,1.1717085,0.0
202010050300,EURUSD60,1.1732,1.1734,1.17272,1.17281,25167,-4.8281654496884485e-05,52.197125111257236,1.1722003676381938,1.1716820000000001,0.0
