datadate,tic,adjcp,open,high,low,volume,macd,rsi,ema,boll,turbulence
202010010000,USDCAD60,1.33082,1.33161,1.33058,1.33147,2811,0.0,100.0,1.33082,1.33082,0.0
202010010100,USDCAD60,1.33146,1.33146,1.32841,1.32911,4390,1.4358974358863463e-05,100.0,1.331172,1.33114,0.0
202010010200,USDCAD60,1.32915,1.3294,1.32869,1.3292,1435,-5.333677837637829e-05,21.12451627589833,1.330359169435216,1.3304766666666668,0.0
202010010300,USDCAD60,1.32919,1.32955,1.32876,1.32939,974,-8.137480001613184e-05,22.22342624055318,1.3299739801980197,1.330155,0.0
202010010400,USDCAD60,1.32941,1.32956,1.329,1.32934,1650,-8.614279090557453e-05,27.935909398122163,1.329812076822023,1.330006,0.0
202010010500,USDCAD60,1.32933,1.3297,1.32839,1.32855,2819,-9.081064880112066e-05,27.184817445283343,1.3296868648195335,1.3298933333333334,0.0
202010010600,USDCAD60,1.32855,1.32888,1.32792,1.32888,3996,-0.00012757532412921435,21.385492702626962,1.329412926066984,1.3297014285714286,0.0
202010010700,USDCAD60,1.32887,1.33054,1.32859,1.33025,7496,-0.00013495678716202164,27.91216245335859,1.3292894077702364,1.3295975,0.0
202010010800,USDCAD60,1.33025,1.33109,1.32849,1.33102,6328,-6.954806316961104e-05,47.39552777106054,1.3294983990242117,1.32967,0.0
202010010900,USDCAD60,1.331,1.33105,1.32867,1.32889,5264,1.6494984136805613e-05,54.334506621166426,1.3298138195665319,1.329803,0.0
202010011000,USDCAD60,1.32889,1.33028,1.32822,1.33022,4072,-3.397172892793954e-05,39.26189266128823,1.329625094778628,1.32972,0.0
202010011100,USDCAD60,1.33025,1.33046,1.32828,1.32856,6148,4.19689095743081e-06,48.742754581243744,1.3297499496981546,1.3297641666666666,0.0
202010011200,USDCAD60,1.32856,1.32995,1.32822,1.32994,4897,-6.301690727039677e-05,40.59668380719771,1.3295163991621428,1.3296715384615385,0.0
202010011300,USDCAD60,1.32994,1.33195,1.32966,1.33019,9140,-3.2529356595700776e-05,47.94542056986181,1.3295983546370818,1.3296907142857142,0.0
202010011400,USDCAD60,1.33017,1.3322,1.32964,1.32992,10739,4.526452370035017e-06,49.032514853827685,1.3297076785932997,1.3297226666666666,0.0
202010011500,USDCAD60,1.32991,1.33027,1.32884,1.32896,9175,1.681836468758746e-05,47.86360125591608,1.3297460101029297,1.329734375,0.0
202010011600,USDCAD60,1.32895,1.32981,1.3289,1.32944,5402,-3.342522266991388e-05,43.868968937652994,1.329596342731107,1.3296882352941177,0.0
202010011700,USDCAD60,1.32944,1.32978,1.32793,1.32905,4949,-4.059892011665234e-05,46.23812646471128,1.3295671281066854,1.3296744444444444,0.0
202010011800,USDCAD60,1.32907,1.32932,1.32666,1.32711,9643,-6.935322145262823e-05,44.76231013569694,1.3294746996645161,1.3296426315789474,0.0
202010011900,USDCAD60,1.3271,1.3281,1.32707,1.32785,7014,-0.00021909179074164342,38.06965059790927,1.3290349898311133,1.3295154999999999,0.0
202010012000,USDCAD60,1.32786,1.32886,1.32762,1.32883,2373,-0.00028187692621406413,41.55695379558342,1.3288181491423654,1.3293675,0.0
202010012100,USDCAD60,1.32885,1.32892,1.32756,1.32784,1465,-0.00026072166204382796,45.67887594515661,1.32882401112278,1.329237,0.0
202010012200,USDCAD60,1.32784,1.32864,1.32784,1.32803,1358,-0.00030984120735366716,42.51432789480566,1.32864331145033,1.3291715,0.0
202010012300,USDCAD60,1.32803,1.32868,1.32803,1.32857,2419,-0.0003312722366914933,43.27903544395889,1.3285308898496657,1.3291134999999998,0.0
202010020000,USDCAD60,1.32859,1.32992,1.32813,1.32989,6645,-0.00030511945672184737,45.48994055022189,1.3285417088353644,1.3290724999999999,0.0
202010020100,USDCAD60,1.32989,1.33002,1.32879,1.3297,6401,-0.00018990360934045825,50.155682653668165,1.328788188901218,1.3291005,0.0
202010020200,USDCAD60,1.3297,1.33073,1.32943,1.3303,3970,-0.00011138275128086406,49.51489601014134,1.3289547113522362,1.329158,0.0
202010020300,USDCAD60,1.33026,1.33043,1.32961,1.32981,4134,-8.816847052672827e-06,51.40775369983472,1.3291929009671781,1.3292274999999998,0.0
202010020400,USDCAD60,1.3298,1.33148,1.32957,1.33105,4644,3.815114230243388e-05,49.82046633774527,1.32930361133486,1.329205,0.0
202010020500,USDCAD60,1.33107,1.33272,1.33081,1.33239,15621,0.00016661461245393028,53.886957687910886,1.3296255550326177,1.3292085,0.0
202010020600,USDCAD60,1.33237,1.33287,1.33038,1.33084,9345,0.0003600963817833591,57.53134578083657,1.3301255388300992,1.3293825,0.0
202010020700,USDCAD60,1.33087,1.33123,1.32921,1.33019,8496,0.00039669119517937723,52.5719779160087,1.33026111589223,1.3294134999999998,0.0
202010020800,USDCAD60,1.33018,1.33134,1.32965,1.33121,6162,0.00036961623152564904,50.50041638360005,1.330246347898045,1.3294944999999998,0.0
202010020900,USDCAD60,1.33118,1.33218,1.33036,1.33196,6003,0.0004186450889922533,53.26157743035094,1.3304162878332324,1.3295565000000003,0.0
202010021000,USDCAD60,1.33195,1.33286,1.33124,1.33156,5779,0.0005097931636020014,55.2499497187352,1.3306953931970706,1.3296455,0.0
202010021100,USDCAD60,1.33156,1.33201,1.33062,1.33135,6722,0.0005458931880926166,54.04525132718406,1.3308527090819058,1.329728,0.0
202010021200,USDCAD60,1.33136,1.33299,1.33007,1.3322,8628,0.0005527506489135803,53.42723804002999,1.3309449988239592,1.3298485,0.0
202010021300,USDCAD60,1.33223,1.3331,1.33083,1.33149,9419,0.0006177429446554417,55.70649272235792,1.3311787494385001,1.329988,0.0
202010021400,USDCAD60,1.33145,1.33222,1.33013,1.33167,8734,0.0006021334558612423,53.287765045534144,1.331228087415981,1.330107,0.0
202010021500,USDCAD60,1.33169,1.33215,1.33041,1.33211,6852,0.000601337754835507,53.92454688429724,1.3313120989588698,1.3303365,0.0
202010021600,USDCAD60,1.3321,1.33222,1.32944,1.33042,9323,0.0006252377313116231,55.00844118862122,1.3314553919820755,1.3305485000000001,0.0
202010021700,USDCAD60,1.33045,1.33191,1.32998,1.33173,6045,0.0005099490190689782,50.101700262245124,1.3312725534674725,1.3306285,0.0
202010021800,USDCAD60,1.33173,1.33173,1.33036,1.33039,3849,0.0005125032544734953,53.43498790410141,1.3313557404441194,1.330823,0.0
202010021900,USDCAD60,1.33041,1.33102,1.32995,1.33098,4827,0.0004066267488029851,49.88028591460079,1.3311837624671474,1.330942,0.0
202010022000,USDCAD60,1.33098,1.331,1.3298,1.33053,2666,0.0003632172631478081,51.3266993942652,1.3311467103091934,1.3310615,0.0
202010042100,USDCAD60,1.32964,1.33007,1.32963,1.32975,808,0.00022104225623387208,47.960638043591246,1.3308727361390733,1.331049,0.0
202010042200,USDCAD60,1.32975,1.33027,1.32952,1.32973,1913,0.00011572895835243457,48.24884857775677,1.3306685859315264,1.3310515,0.0
202010042300,USDCAD60,1.32974,1.32986,1.32915,1.32927,3221,3.114880621213345e-05,48.22373149067142,1.3304997410524333,1.3310255000000002,0.0
202010050000,USDCAD60,1.32927,1.32938,1.32784,1.32817,4563,-7.214211183703689e-05,47.03328803149771,1.3302761397719842,1.3309989999999998,0.0
202010050100,USDCAD60,1.3282,1.32858,1.32775,1.32783,3542,-0.00023588470245861082,44.44912250276173,1.3298986432403253,1.3308555,0.0
202010050200,USDCAD60,1.32784,1.32805,1.32732,1.32766,2912,-0.0003896303806705248,43.61506971345088,1.3295243310239164,1.330629,0.0
202010050300,USDCAD60,1.32766,1.32781,1.32731,1.32774,2627,-0.0005197165495465228,43.19582711616286,1.329185351784441,1.3304685,0.0
202010050400,USDCAD60,1.32774,1.32787,1.32747,1.32751,1713,-0.0006093914503235709,43.44576649791125,1.3289225542317076,1.3303464999999999,0.0
202010050500,USDCAD60,1.32752,1.32777,1.32718,1.32721,1654,-0.0006899672901052867,42.90866617199387,1.3286675393542593,1.3301634999999998,0.0
202010050600,USDCAD60,1.32722,1.32836,1.32721,1.3276,3540,-0.0007688127263703048,42.17319394743074,1.3284043461441815,1.329927,0.0
202010050700,USDCAD60,1.32762,1.32881,1.32757,1.32831,6121,-0.0007902850010079732,43.50875696879021,1.3282617358761342,1.32973,0.0
202010050800,USDCAD60,1.32837,1.32839,1.3264,1.32717,3991,-0.0007389446488217377,45.93094838772911,1.3282814204744042,1.3295805,0.0
202010050900,USDCAD60,1.32717,1.32724,1.32629,1.32671,3741,-0.0007849936227162235,42.88726861828004,1.328079342242916,1.3293275000000002,0.0
202010051000,USDCAD60,1.32672,1.32773,1.32665,1.32735,2880,-0.0008476483562214199,41.81240535115281,1.3278321873250147,1.329091,0.0
202010051100,USDCAD60,1.32736,1.32789,1.32669,1.32693,3554,-0.0008364706634034214,43.881689532520596,1.3277463345774116,1.3288745,0.0
202010051200,USDCAD60,1.32693,1.32777,1.32673,1.3276,3751,-0.0008521793626576901,42.823214220671325,1.3275979093920758,1.328616,0.0
202010051300,USDCAD60,1.3276,1.3276,1.32599,1.32646,5351,-0.0008017348969595606,44.96305431565152,1.3275982895041092,1.3284734999999999,0.0
