,Strategy
Start Period,2023-04-17
End Period,2023-12-04
Risk-Free Rate,0.0%
Time in Market,3.0%
Cumulative Return,-0.62%
CAGR﹪,-0.68%
Sharpe,-0.17
Prob. Sharpe Ratio,25.35%
Smart Sharpe,-0.17
Sortino,-0.26
Smart Sortino,-0.26
Sortino/√2,-0.18
Smart Sortino/√2,-0.18
Omega,0.82
Max Drawdown,-1.6%
Longest DD Days,146
Volatility (ann.),0.23%
Calmar,-0.42
Skew,5.37
Kurtosis,318.31
Expected Daily,-0.0%
Expected Monthly,-0.07%
Expected Yearly,-0.62%
Kelly Criterion,-8.47%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.02%
Expected Shortfall (cVaR),-0.02%
Max Consecutive Wins,1
Max Consecutive Losses,1
Gain/Pain Ratio,-0.19
Gain/Pain (1M),-0.38
Payoff Ratio,1.34
Profit Factor,0.82
Common Sense Ratio,-
CPC Index,0.41
Tail Ratio,-
Outlier Win Ratio,0.0
Outlier Loss Ratio,0.34
MTD,0.12%
3M,-0.72%
6M,-0.76%
YTD,-0.62%
1Y,-0.62%
3Y (ann.),-0.68%
5Y (ann.),-0.68%
10Y (ann.),-0.68%
All-time (ann.),-0.68%
Best Day,0.43%
Worst Day,-0.31%
Best Month,0.5%
Worst Month,-0.36%
Best Year,-0.62%
Worst Year,-0.62%
Avg. Drawdown,-0.38%
Avg. Drawdown Days,34
Recovery Factor,0.39
Ulcer Index,0.01
Serenity Index,-0.01
Avg. Up Month,0.34%
Avg. Down Month,-0.27%
Win Days,37.89%
Win Month,33.33%
Win Quarter,33.33%
Win Year,0.0%
Action Sell,100
Action Buy,3851
Total Reward,595.0999999999686
Total Profit,0.9937627764860348
Ticket,USDCAD60
Model,TR-DQN
