,Strategy
Start Period,2020-01-01
End Period,2035-02-19
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,-3.06%
CAGR﹪,-0.14%
Sharpe,-10.3
Prob. Sharpe Ratio,0.0%
Smart Sharpe,-6.22
Sortino,-9.55
Smart Sortino,-5.77
Sortino/√2,-6.75
Smart Sortino/√2,-4.08
Omega,0.18
Max Drawdown,-3.06%
Longest DD Days,5528
Volatility (ann.),0.02%
Calmar,-0.05
Skew,0.63
Kurtosis,5.17
Expected Daily,-0.0%
Expected Monthly,-0.02%
Expected Yearly,-0.19%
Kelly Criterion,-83.99%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.0%
Expected Shortfall (cVaR),-0.0%
Max Consecutive Wins,7
Max Consecutive Losses,95
Gain/Pain Ratio,-0.82
Gain/Pain (1M),-0.99
Payoff Ratio,0.79
Profit Factor,0.18
Common Sense Ratio,0.08
CPC Index,0.03
Tail Ratio,0.46
Outlier Win Ratio,3.19
Outlier Loss Ratio,3.23
MTD,-0.02%
3M,-0.1%
6M,-0.18%
YTD,-0.05%
1Y,-0.33%
3Y (ann.),-0.17%
5Y (ann.),-0.17%
10Y (ann.),-0.14%
All-time (ann.),-0.14%
Best Day,0.01%
Worst Day,-0.01%
Best Month,0.01%
Worst Month,-0.05%
Best Year,-0.05%
Worst Year,-0.31%
Avg. Drawdown,-3.06%
Avg. Drawdown Days,5528
Recovery Factor,1.02
Ulcer Index,0.02
Serenity Index,-0.0
Avg. Up Month,0.0%
Avg. Down Month,-0.02%
Win Days,18.95%
Win Month,3.85%
Win Quarter,0.0%
Win Year,0.0%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,9694.071000000002
Ticket,USDCHF60
Model,GRU
