datadate,tic,adjcp,open,high,low,volume,macd,rsi,ema,boll,turbulence
202010010000,USDJPY60,105.448,105.546,105.439,105.501,7642,0.0,100.0,105.448,105.448,0.0
202010010100,USDJPY60,105.501,105.55,105.475,105.512,6412,0.001189102564097766,100.0,105.47715,105.4745,0.0
202010010200,USDJPY60,105.512,105.531,105.453,105.461,3779,0.001856262029662048,100.0,105.49115946843855,105.48700000000001,0.0
202010010300,USDJPY60,105.46,105.484,105.445,105.46,4114,0.00023676676958928056,53.637201192751846,105.4808938118812,105.48025,0.0
202010010400,USDJPY60,105.46,105.476,105.416,105.443,4128,-0.0006482272673196121,53.637201192751846,105.47489576674967,105.47619999999999,0.0
202010010500,USDJPY60,105.444,105.532,105.438,105.509,5073,-0.0018522135536329642,46.5333037147786,105.46687106892881,105.47083333333335,0.0
202010010600,USDJPY60,105.508,105.526,105.475,105.485,8485,0.000306869893847761,65.4617271090907,105.47678148912807,105.47614285714285,0.0
202010010700,USDJPY60,105.485,105.545,105.463,105.534,10717,0.0006557919705016957,57.84810453248447,105.47865123995868,105.47725,0.0
202010010800,USDJPY60,105.534,105.603,105.509,105.591,10124,0.003318504154762536,66.44832511624352,105.49069319325437,105.48355555555555,0.0
202010010900,USDJPY60,105.592,105.622,105.541,105.543,7375,0.008146622224018074,73.15504703591724,105.51197331256681,105.4944,0.0
202010011000,USDJPY60,105.542,105.602,105.54,105.593,5996,0.008857468697769377,62.087193758032306,105.51810738941752,105.49872727272727,0.0
202010011100,USDJPY60,105.594,105.609,105.442,105.467,15489,0.01211453156096809,67.39442025113573,105.53327059411299,105.50666666666666,0.0
202010011200,USDJPY60,105.467,105.598,105.453,105.576,12561,0.007195355794834768,49.7862346713064,105.52026371424158,105.50361538461539,0.0
202010011300,USDJPY60,105.577,105.727,105.573,105.71,16095,0.009795013357262405,59.31145528273992,105.53124067375167,105.50885714285714,0.0
202010011400,USDJPY60,105.71,105.71,105.622,105.641,14392,0.01952300539981877,67.11413436503949,105.56542738814491,105.52226666666667,0.0
202010011500,USDJPY60,105.641,105.641,105.517,105.534,13680,0.022474335547215674,60.85141467333493,105.57974526160342,105.5296875,0.0
202010011600,USDJPY60,105.535,105.588,105.527,105.554,8870,0.01788646906345548,52.99280182042701,105.57133217026067,105.53,0.0
202010011700,USDJPY60,105.554,105.594,105.542,105.583,3446,0.015351274234717494,54.092144808269,105.56809343417751,105.53133333333334,0.0
202010011800,USDJPY60,105.583,105.609,105.551,105.554,6312,0.015076547674766516,55.72698605485329,105.57086493439756,105.53405263157894,0.0
202010011900,USDJPY60,105.558,105.569,105.527,105.538,7163,0.01305326157591935,54.011680320966846,105.56848280656673,105.53524999999999,0.0
202010012000,USDJPY60,105.539,105.564,105.511,105.519,3008,0.010076540384275745,52.73548893148,105.5630418470683,105.53979999999999,0.0
202010012100,USDJPY60,105.516,105.567,105.506,105.531,4423,0.006109110958206543,51.219957908960815,105.55438404609632,105.54054999999998,0.0
202010012200,USDJPY60,105.531,105.58,105.519,105.56,1590,0.003978826910909561,52.147750483293365,105.55008989801978,105.5415,0.0
202010012300,USDJPY60,105.559,105.574,105.54,105.55,6773,0.004202232760178504,53.84301014823914,105.55172314312902,105.54645000000001,0.0
202010020000,USDJPY60,105.548,105.58,105.513,105.548,9685,0.0035619886701567793,53.078799867603365,105.55104169278523,105.55085,0.0
202010020100,USDJPY60,105.547,105.593,105.533,105.589,6558,0.002951630838708752,53.00804506825964,105.55030283405057,105.556,0.0
