datadate,tic,adjcp,open,high,low,volume,macd,rsi,ema,boll,turbulence
202309010000,USDCAD5,1.351,1.35101,1.35072,1.35098,181,0.0,0.0,1.351,1.351,0.0
202309010005,USDCAD5,1.35093,1.35099,1.35077,1.35097,151,-1.5705128202370133e-06,0.0,1.3509615,1.350965,0.0
202309010010,USDCAD5,1.35098,1.3512,1.35095,1.35118,146,-4.5064805109795714e-07,42.49291784707201,1.3509689368770765,1.35097,0.0
202309010015,USDCAD5,1.3512,1.35154,1.35119,1.35145,168,8.012748845320772e-06,80.40083896527224,1.3510450618811882,1.3510275,0.0
202309010020,USDCAD5,1.35145,1.35156,1.35134,1.35136,64,2.2391018949630137e-05,88.95763654109413,1.3511613086017924,1.351112,0.0
202309010025,USDCAD5,1.35137,1.35145,1.35127,1.35127,55,2.7192585648316836e-05,77.72441161125936,1.3512155129664873,1.351155,0.0
202309010030,USDCAD5,1.3513,1.3513,1.35103,1.35124,209,2.6632376367352606e-05,69.75167906469676,1.3512358709476384,1.3511757142857144,0.0
202309010035,USDCAD5,1.35126,1.35128,1.3511,1.35116,155,2.392613328239257e-05,65.7639741761526,1.3512413604233353,1.35118625,0.0
202309010040,USDCAD5,1.35115,1.35137,1.35115,1.3512,82,1.6230564104269263e-05,56.56440447778595,1.3512214835923086,1.3511822222222223,0.0
202309010045,USDCAD5,1.35124,1.35135,1.35107,1.35121,157,1.5171238478606242e-05,61.16274445637879,1.3512253730778976,1.351188,0.0
202309010050,USDCAD5,1.35121,1.35136,1.35102,1.35104,138,1.2594721667591458e-05,59.00861059055843,1.3512222325502765,1.35119,0.0
202309010055,USDCAD5,1.35103,1.3512,1.35097,1.35103,117,6.468270072890192e-07,48.423079814078484,1.351183824838556,1.3511766666666667,0.0
202309010100,USDCAD5,1.351,1.35104,1.3502,1.35022,390,-9.91728080479426e-06,46.97032338212255,1.351147745675173,1.351163076923077,0.0
202309010105,USDCAD5,1.35022,1.35034,1.35001,1.35009,316,-6.290166486500048e-05,25.994514585353883,1.35096825160756,1.3510957142857143,0.0
202309010110,USDCAD5,1.3501,1.35018,1.34987,1.34995,294,-0.00010917827893042187,24.269599667652273,1.3508022033775062,1.3510293333333332,0.0
202309010115,USDCAD5,1.34996,1.34999,1.3498,1.34984,299,-0.00015141138953844724,22.470064525406315,1.3506426407914123,1.3509625,0.0
202309010120,USDCAD5,1.34985,1.34989,1.34906,1.34927,1455,-0.00018854832133818888,21.192819097086698,1.3504936069241116,1.3508970588235294,0.0
202309010125,USDCAD5,1.34924,1.34939,1.34917,1.34922,668,-0.00025313496339962605,15.981497134875951,1.3502593545530488,1.350805,0.0
202309010130,USDCAD5,1.3492,1.3493,1.34904,1.34927,235,-0.0003022574289159863,15.71928940106119,1.35006239427314,1.3507205263157893,0.0
202309010135,USDCAD5,1.34926,1.34928,1.34917,1.34927,158,-0.0003325599545114244,17.811726489012514,1.3499138194207334,1.3506475,0.0
202309010140,USDCAD5,1.34927,1.3494,1.3492,1.34938,240,-0.0003513250450624117,18.162035288860224,1.3497950045655538,1.3505610000000001,0.0
202309010145,USDCAD5,1.34934,1.34972,1.34889,1.34934,490,-0.0003569716714160176,20.612314781960265,1.3497112634028356,1.3504815,0.0
202309010150,USDCAD5,1.34933,1.34956,1.34923,1.34956,134,-0.00035779832220295127,20.521512786085424,1.3496412497917953,1.350399,0.0
202309010155,USDCAD5,1.34955,1.34965,1.34945,1.34954,144,-0.0003390928731548115,27.76370472457552,1.3496245234651494,1.3503165000000001,0.0
