Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses,Weighted Score
USDJPY1440,GRU,1.000,1.000,1.000,0.555,0.500,1.000,0.500,0.544
GBPUSD1440,GRU,0.220,0.385,0.262,0.500,0.848,0.177,0.561,0.217
EURUSD1440,PPO,0.000,0.398,0.273,0.528,0.825,0.191,1.000,0.216
GBPUSD1440,DQN,0.000,0.371,0.250,0.530,0.855,0.176,1.000,0.212
EURUSD1440,DQN,0.000,0.352,0.235,0.520,0.876,0.169,1.000,0.211
GBPUSD1440,PPO,0.000,0.377,0.254,0.552,0.848,0.179,1.000,0.211
EURUSD1440,A2C,0.000,0.353,0.236,0.525,0.873,0.169,1.000,0.211
GBPUSD1440,LSTM,0.219,0.330,0.215,0.500,0.873,0.176,0.561,0.209
GBPUSD1440,TR-DQN,0.000,0.359,0.239,0.546,0.873,0.166,1.000,0.209
GBPUSD1440,A2C,0.000,0.347,0.233,0.532,0.878,0.162,1.000,0.209
EURUSD1440,TR-DQN,0.000,0.259,0.170,0.539,0.977,0.146,1.000,0.201
USDJPY1440,A2C,0.000,0.286,0.186,0.595,0.940,0.124,1.000,0.194
USDJPY1440,DQN,0.000,0.273,0.183,0.593,0.952,0.123,1.000,0.194
USDJPY1440,TR-DQN,0.000,0.278,0.183,0.620,0.964,0.112,1.000,0.192
USDJPY1440,PPO,0.000,0.240,0.156,0.613,0.977,0.111,1.000,0.187
EURUSD1440,LSTM,0.217,0.117,0.066,0.501,0.961,0.174,0.575,0.183
EURUSD1440,GRU,0.216,0.000,0.000,0.501,1.000,0.173,0.575,0.168
USDJPY1440,LSTM,0.051,0.255,0.161,1.000,0.914,0.000,0.500,0.093
