,Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses
0,EURUSD1440,A2C,0.967211675,-0.19,-0.27,-9.23,-0.07,-3.46,1
1,EURUSD1440,DQN,0.966945818,-0.21,-0.29,-7.78,-0.08,-3.31,1
2,EURUSD1440,GRU,0.9820746,-4.26,-5.08,-1.8,-0.5,-1.78,18
3,EURUSD1440,LSTM,0.9878624,-2.91,-3.74,-1.67,-0.38,-1.23,18
4,EURUSD1440,PPO,1.061596584,0.33,0.49,-9.91,0.13,6.16,1
5,EURUSD1440,TR-DQN,0.86683375,-1.28,-1.6,-13.21,-0.43,-13.32,1
6,GBPUSD1440,A2C,0.93463572,-0.26,-0.33,-11.25,-0.09,-6.2,1
7,GBPUSD1440,DQN,0.994985233,0.01,0.02,-10.71,0,-0.5,1
8,GBPUSD1440,GRU,1.0011522,0.18,0.27,-1.44,0.03,0.1,19
9,GBPUSD1440,LSTM,0.9974938,-0.46,-0.68,-1.52,-0.07,-0.27,19
10,GBPUSD1440,PPO,1.007327669,0.08,0.11,-16.83,0.03,1.1,1
11,GBPUSD1440,TR-DQN,0.952082563,-0.13,-0.19,-15.11,-0.07,-4.79,1
12,USDJPY1440,A2C,0.771084699,-0.96,-1.29,-27.4,-0.31,-22.89,1
13,USDJPY1440,DQN,0.768112579,-1.11,-1.34,-26.84,-0.35,-23.19,1
14,USDJPY1440,GRU,0.455644,7.26,15.34,-17.54,2.46,357.05,24
15,USDJPY1440,LSTM,0.23464,-1.32,-1.8,-82.57,-0.22,-76.61,24
16,USDJPY1440,PPO,0.714934049,-1.5,-1.89,-31.35,-0.43,-28.51,1
17,USDJPY1440,TR-DQN,0.71932214,-1.06,-1.34,-32.77,-0.39,-28.07,1
