Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses,Weighted Score
USDJPY60,GRU,1.000,0.996,0.981,0.532,0.503,1.000,0.875,0.582
USDJPY60,LSTM,0.981,1.000,1.000,0.525,0.500,0.976,0.828,0.574
EURUSD60,TR-DQN,0.000,0.639,0.437,0.517,0.956,0.073,1.000,0.259
USDJPY60,A2C,0.000,0.696,0.487,0.527,0.788,0.077,1.000,0.252
GBPUSD60,A2C,0.000,0.697,0.489,0.543,0.802,0.074,1.000,0.252
USDJPY60,TR-DQN,0.000,0.705,0.497,0.529,0.760,0.085,1.000,0.252
GBPUSD60,TR-DQN,0.000,0.696,0.487,0.544,0.798,0.073,1.000,0.251
GBPUSD60,DQN,0.000,0.693,0.486,0.558,0.807,0.069,1.000,0.250
USDJPY60,DQN,0.000,0.687,0.476,0.552,0.813,0.070,1.000,0.249
EURUSD60,A2C,0.000,0.691,0.483,0.567,0.802,0.067,1.000,0.248
USDJPY60,PPO,0.000,0.693,0.484,0.602,0.798,0.072,1.000,0.244
EURUSD60,DQN,0.000,0.637,0.430,0.671,0.919,0.039,1.000,0.235
GBPUSD60,PPO,0.000,0.620,0.414,0.818,0.942,0.017,1.000,0.218
GBPUSD60,LSTM,0.277,0.325,0.159,0.500,0.929,0.079,0.562,0.211
EURUSD60,PPO,0.000,0.613,0.405,1.000,0.945,0.000,1.000,0.196
GBPUSD60,GRU,0.274,0.190,0.085,0.512,0.967,0.075,0.503,0.186
EURUSD60,GRU,0.274,0.024,0.009,0.512,0.996,0.075,0.524,0.166
EURUSD60,LSTM,0.274,0.000,0.000,0.514,1.000,0.074,0.500,0.161
