Ticket,Model,MSE m5,RMSE m5,MAPE m5,MSE H1,RMSE H1,MAPE H1,MSE D1,RMSE D1,MAPE D1
EURUSD,A2C(GRU),0.79,0.0265,1.3738,2.0279,0.5072,0.09,2.3167,1.033,0.3265
EURUSD,A2C(LSTM),0.8032,0.4673,0.2,0.832,0.0234,0.7492,1.5868,0.1293,0.1676
EURUSD,DQN(GRU),1.6459,0.6393,0.1999,0.5529,0.7506,0.3341,0.1706,0.7323,0.7832
EURUSD,DQN(LSTM),1.6684,0.0745,0.7722,1.4546,0.7357,0.0724,0.4106,0.9303,0.7827
EURUSD,PPO(GRU),1.03,0.4464,0.3132,0.4705,0.0497,0.6718,1.7862,0.7682,0.7357
EURUSD,PPO(LSTM),2.1303,0.065,1.8577,1.0921,1.7778,0.3349,1.1008,1.4624,0.9643
GBPUSD,A2C(GRU),2.178,1.637,1.4175,0.433,0.5059,0.7968,2.0379,4.3362,2.3064
GBPUSD,A2C(LSTM),1.9161,0.4882,0.3005,0.9071,0.824,0.8415,1.89,0.1101,0.7725
GBPUSD,DQN(GRU),0.521,0.5979,0.1257,1.3507,0.8789,0.1181,1.5125,0.1409,0.6192
GBPUSD,DQN(LSTM),1.6747,0.9748,1.0749,1.5444,0.133,0.2681,1.9946,0.5814,0.5369
GBPUSD,PPO(GRU),0.9585,1.0271,0.3954,0.555,0.646,0.2701,1.3229,0.8619,0.0268
GBPUSD,PPO(LSTM),0.5265,1.4302,0.7262,1.6262,0.6353,0.3767,1.8169,4.5442,4.4434
USDCAD,A2C(GRU),0.2603,1.202,0.9429,1.1206,0.8174,0.2492,4.8778,4.2379,1.3748
USDCAD,A2C(LSTM),1.9721,0.2306,0.6233,0.6047,0.8942,0.6441,0.4248,0.4635,1.1483
USDCAD,DQN(GRU),0.4092,0.8271,0.5032,0.2861,0.184,0.9332,2.0135,1.1205,1.0442
USDCAD,DQN(LSTM),1.9932,0.0759,0.3231,0.5852,0.1935,0.0564,0.386,0.0307,0.6273
USDCAD,PPO(GRU),0.4764,0.2652,0.5806,0.443,0.1851,0.5068,1.7793,0.5252,0.2353
USDCAD,PPO(LSTM),1.6769,1.1604,0.8418,1.2857,0.9874,1.3244,3.9215,4.4944,3.6867
