,Strategy
Start Period,2020-10-06
End Period,2023-12-04
Risk-Free Rate,0.0%
Time in Market,16.0%
Cumulative Return,-13.32%
CAGR﹪,-3.07%
Sharpe,-1.28
Prob. Sharpe Ratio,0.47%
Smart Sharpe,-1.27
Sortino,-1.6
Smart Sortino,-1.59
Sortino/√2,-1.13
Smart Sortino/√2,-1.12
Omega,0.57
Max Drawdown,-13.21%
Longest DD Days,1122
Volatility (ann.),2.81%
Calmar,-0.23
Skew,-0.98
Kurtosis,20.01
Expected Daily,-0.01%
Expected Monthly,-0.37%
Expected Yearly,-3.51%
Kelly Criterion,-27.66%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.31%
Expected Shortfall (cVaR),-0.31%
Max Consecutive Wins,1
Max Consecutive Losses,1
Gain/Pain Ratio,-0.43
Gain/Pain (1M),-0.67
Payoff Ratio,0.99
Profit Factor,0.57
Common Sense Ratio,0.07
CPC Index,0.21
Tail Ratio,0.12
Outlier Win Ratio,29.1
Outlier Loss Ratio,2.26
MTD,0.0%
3M,-0.63%
6M,-3.16%
YTD,-7.35%
1Y,-6.94%
3Y (ann.),-2.86%
5Y (ann.),-3.07%
10Y (ann.),-3.07%
All-time (ann.),-3.07%
Best Day,1.3%
Worst Day,-1.18%
Best Month,2.95%
Worst Month,-2.47%
Best Year,-1.45%
Worst Year,-7.35%
Avg. Drawdown,-13.21%
Avg. Drawdown Days,1122
Recovery Factor,1.07
Ulcer Index,0.07
Serenity Index,-0.03
Avg. Up Month,0.59%
Avg. Down Month,-0.81%
Win Days,36.6%
Win Month,31.58%
Win Quarter,23.08%
Win Year,0.0%
Action Sell,196
Action Buy,794
Total Reward,-3136.6999999999607
Total Profit,0.8668337499572504
Ticket,EURUSD1440
Model,TR-DQN
