,Strategy
Start Period,2020-01-01
End Period,2023-10-13
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,0.1%
CAGR﹪,0.02%
Sharpe,0.18
Prob. Sharpe Ratio,63.61%
Smart Sharpe,0.11
Sortino,0.27
Smart Sortino,0.16
Sortino/√2,0.19
Smart Sortino/√2,0.12
Omega,1.03
Max Drawdown,-1.44%
Longest DD Days,1059
Volatility (ann.),0.15%
Calmar,0.01
Skew,0.54
Kurtosis,2.77
Expected Daily,0.0%
Expected Monthly,0.0%
Expected Yearly,0.03%
Kelly Criterion,1.4%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.02%
Expected Shortfall (cVaR),-0.02%
Max Consecutive Wins,13
Max Consecutive Losses,19
Gain/Pain Ratio,0.03
Gain/Pain (1M),0.05
Payoff Ratio,1.09
Profit Factor,1.03
Common Sense Ratio,1.16
CPC Index,0.55
Tail Ratio,1.13
Outlier Win Ratio,3.46
Outlier Loss Ratio,2.83
MTD,-0.02%
3M,-0.24%
6M,-0.12%
YTD,0.16%
1Y,0.34%
3Y (ann.),-0.13%
5Y (ann.),0.02%
10Y (ann.),0.02%
All-time (ann.),0.02%
Best Day,0.05%
Worst Day,-0.04%
Best Month,0.23%
Worst Month,-0.18%
Best Year,0.51%
Worst Year,-0.67%
Avg. Drawdown,-0.07%
Avg. Drawdown Days,50
Recovery Factor,0.07
Ulcer Index,0.01
Serenity Index,0.0
Avg. Up Month,0.09%
Avg. Down Month,-0.09%
Win Days,48.53%
Win Month,50.0%
Win Quarter,37.5%
Win Year,75.0%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,10011.522000000024
Ticket,GBPUSD1440
Model,GRU
