,Strategy
Start Period,2020-10-06
End Period,2023-12-04
Risk-Free Rate,0.0%
Time in Market,25.0%
Cumulative Return,1.1%
CAGR﹪,0.24%
Sharpe,0.08
Prob. Sharpe Ratio,56.0%
Smart Sharpe,0.08
Sortino,0.11
Smart Sortino,0.11
Sortino/√2,0.08
Smart Sortino/√2,0.08
Omega,1.03
Max Drawdown,-16.83%
Longest DD Days,426
Volatility (ann.),6.05%
Calmar,0.01
Skew,1.17
Kurtosis,49.29
Expected Daily,0.0%
Expected Monthly,0.03%
Expected Yearly,0.27%
Kelly Criterion,1.48%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.63%
Expected Shortfall (cVaR),-0.63%
Max Consecutive Wins,1
Max Consecutive Losses,1
Gain/Pain Ratio,0.03
Gain/Pain (1M),0.06
Payoff Ratio,1.01
Profit Factor,1.03
Common Sense Ratio,1.06
CPC Index,0.53
Tail Ratio,1.03
Outlier Win Ratio,16.38
Outlier Loss Ratio,1.88
MTD,-0.45%
3M,-2.68%
6M,-5.21%
YTD,-8.29%
1Y,-6.66%
3Y (ann.),0.23%
5Y (ann.),0.24%
10Y (ann.),0.24%
All-time (ann.),0.24%
Best Day,5.05%
Worst Day,-3.01%
Best Month,8.67%
Worst Month,-6.14%
Best Year,9.76%
Worst Year,-8.29%
Avg. Drawdown,-2.19%
Avg. Drawdown Days,80
Recovery Factor,0.11
Ulcer Index,0.08
Serenity Index,0.01
Avg. Up Month,1.8%
Avg. Down Month,-1.3%
Win Days,50.41%
Win Month,43.59%
Win Quarter,53.85%
Win Year,75.0%
Action Sell,413
Action Buy,577
Total Reward,1478.6000000000472
Total Profit,1.0073276691419837
Ticket,GBPUSD1440
Model,PPO
