,Strategy
Start Period,2020-01-01
End Period,2023-10-13
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,357.05%
CAGR﹪,31.96%
Sharpe,7.26
Prob. Sharpe Ratio,100.0%
Smart Sharpe,4.7
Sortino,15.34
Smart Sortino,9.93
Sortino/√2,10.85
Smart Sortino/√2,7.02
Omega,3.46
Max Drawdown,-17.54%
Longest DD Days,246
Volatility (ann.),5.36%
Calmar,1.82
Skew,0.44
Kurtosis,3.51
Expected Daily,0.15%
Expected Monthly,3.36%
Expected Yearly,46.21%
Kelly Criterion,50.59%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.4%
Expected Shortfall (cVaR),-0.4%
Max Consecutive Wins,20
Max Consecutive Losses,24
Gain/Pain Ratio,2.46
Gain/Pain (1M),8.18
Payoff Ratio,1.41
Profit Factor,3.46
Common Sense Ratio,6.35
CPC Index,3.47
Tail Ratio,1.83
Outlier Win Ratio,3.48
Outlier Loss Ratio,3.06
MTD,0.42%
3M,9.06%
6M,23.26%
YTD,40.11%
1Y,51.47%
3Y (ann.),30.74%
5Y (ann.),31.96%
10Y (ann.),31.96%
All-time (ann.),31.96%
Best Day,2.23%
Worst Day,-1.3%
Best Month,9.19%
Worst Month,-5.81%
Best Year,59.33%
Worst Year,29.37%
Avg. Drawdown,-0.42%
Avg. Drawdown Days,6
Recovery Factor,8.7
Ulcer Index,0.04
Serenity Index,1.42
Avg. Up Month,4.38%
Avg. Down Month,-3.07%
Win Days,71.12%
Win Month,86.96%
Win Quarter,93.75%
Win Year,100.0%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,45564.400000000096
Ticket,USDJPY1440
Model,GRU
