,Strategy
Start Period,2020-01-01
End Period,2023-10-13
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,-76.61%
CAGR﹪,-23.29%
Sharpe,-1.32
Prob. Sharpe Ratio,0.49%
Smart Sharpe,-0.82
Sortino,-1.8
Smart Sortino,-1.12
Sortino/√2,-1.27
Smart Sortino/√2,-0.79
Omega,0.78
Max Drawdown,-82.57%
Longest DD Days,754
Volatility (ann.),25.54%
Calmar,-0.28
Skew,0.27
Kurtosis,4.02
Expected Daily,-0.15%
Expected Monthly,-3.11%
Expected Yearly,-30.45%
Kelly Criterion,-12.42%
Risk of Ruin,0.0%
Daily Value-at-Risk,-2.78%
Expected Shortfall (cVaR),-2.78%
Max Consecutive Wins,20
Max Consecutive Losses,24
Gain/Pain Ratio,-0.22
Gain/Pain (1M),-0.35
Payoff Ratio,0.99
Profit Factor,0.78
Common Sense Ratio,0.64
CPC Index,0.34
Tail Ratio,0.82
Outlier Win Ratio,4.79
Outlier Loss Ratio,4.19
MTD,-17.92%
3M,-9.65%
6M,-51.38%
YTD,-54.0%
1Y,-70.89%
3Y (ann.),-24.96%
5Y (ann.),-23.29%
10Y (ann.),-23.29%
All-time (ann.),-23.29%
Best Day,7.61%
Worst Day,-7.01%
Best Month,46.59%
Worst Month,-36.84%
Best Year,13.93%
Worst Year,-54.0%
Avg. Drawdown,-14.44%
Avg. Drawdown Days,120
Recovery Factor,1.6
Ulcer Index,0.42
Serenity Index,-0.07
Avg. Up Month,16.86%
Avg. Down Month,-11.53%
Win Days,44.17%
Win Month,34.78%
Win Quarter,31.25%
Win Year,25.0%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,2346.4000000000437
Ticket,USDJPY1440
Model,LSTM
