,Strategy
Start Period,2020-10-06
End Period,2023-12-04
Risk-Free Rate,0.0%
Time in Market,17.0%
Cumulative Return,-28.07%
CAGR﹪,-6.94%
Sharpe,-1.06
Prob. Sharpe Ratio,1.77%
Smart Sharpe,-1.05
Sortino,-1.34
Smart Sortino,-1.33
Sortino/√2,-0.95
Smart Sortino/√2,-0.94
Omega,0.61
Max Drawdown,-32.77%
Longest DD Days,1056
Volatility (ann.),7.67%
Calmar,-0.21
Skew,-0.86
Kurtosis,40.92
Expected Daily,-0.03%
Expected Monthly,-0.84%
Expected Yearly,-7.91%
Kelly Criterion,-28.18%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.83%
Expected Shortfall (cVaR),-0.83%
Max Consecutive Wins,1
Max Consecutive Losses,1
Gain/Pain Ratio,-0.39
Gain/Pain (1M),-0.57
Payoff Ratio,0.79
Profit Factor,0.61
Common Sense Ratio,0.19
CPC Index,0.21
Tail Ratio,0.31
Outlier Win Ratio,22.72
Outlier Loss Ratio,1.86
MTD,2.12%
3M,2.01%
6M,-2.83%
YTD,-8.69%
1Y,-6.18%
3Y (ann.),-7.82%
5Y (ann.),-6.94%
10Y (ann.),-6.94%
All-time (ann.),-6.94%
Best Day,5.21%
Worst Day,-4.8%
Best Month,4.78%
Worst Month,-6.58%
Best Year,1.46%
Worst Year,-18.91%
Avg. Drawdown,-8.48%
Avg. Drawdown Days,275
Recovery Factor,0.97
Ulcer Index,0.18
Serenity Index,-0.02
Avg. Up Month,1.38%
Avg. Down Month,-2.5%
Win Days,43.4%
Win Month,43.59%
Win Quarter,38.46%
Win Year,25.0%
Action Sell,815
Action Buy,175
Total Reward,-432829.9999999969
Total Profit,0.7193221400297563
Ticket,USDJPY1440
Model,TR-DQN
