Ticket,Model,Weighted Score
GBPUSD1440,DQN(LSTM),0.376
EURUSD1440,PPO(GRU),0.3715
EURUSD1440,A2C(LSTM),0.3699
EURUSD1440,DQN(LSTM),0.3692
GBPUSD1440,PPO(GRU),0.3649
GBPUSD1440,DQN(GRU),0.3522
GBPUSD1440,A2C(LSTM),0.3492
USDJPY1440,DQN(GRU),0.3467
USDJPY1440,DQN(LSTM),0.3279
EURUSD1440,DQN(GRU),0.326
USDJPY1440,A2C(GRU),0.3244
USDJPY1440,PPO(GRU),0.3197
USDJPY1440,A2C(LSTM),0.3134
EURUSD1440,PPO(LSTM),0.2804
EURUSD1440,A2C(GRU),0.173
GBPUSD1440,A2C(GRU),0.1151
GBPUSD1440,PPO(LSTM),-0.0155
USDJPY1440,PPO(LSTM),-0.1758
