,Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Volatility (ann.),Win Days,Cumulative Return,CAGR﹪,Expected Yearly,Risk of Ruin
0,EURUSD1440,A2C,0.9672116753616178,-0.19,-0.27,-9.23,4.19,46.7,-3.46,-0.76,-0.88,0.0
1,EURUSD1440,DQN,0.9669458182877636,-0.21,-0.29,-7.78,3.68,49.21,-3.31,-0.73,-0.84,0.0
2,EURUSD1440,PPO,1.0615965836933288,0.33,0.49,-9.91,4.98,50.44,6.16,1.31,1.51,0.0
3,EURUSD1440,TR-DQN,0.8668337499572504,-1.28,-1.6,-13.21,2.81,36.6,-13.32,-3.07,-3.51,0.0
4,GBPUSD1440,A2C,0.9346357201223016,-0.26,-0.33,-11.25,5.72,49.61,-6.2,-1.39,-1.59,0.0
5,GBPUSD1440,DQN,0.9949852326831222,0.01,0.02,-10.71,6.45,50.26,-0.5,-0.11,-0.13,0.0
6,GBPUSD1440,PPO,1.0073276691419837,0.08,0.11,-16.83,6.05,50.41,1.1,0.24,0.27,0.0
7,GBPUSD1440,TR-DQN,0.9520825626054537,-0.13,-0.19,-15.11,7.49,47.15,-4.79,-1.07,-1.22,0.0
8,USDCAD1440,A2C,0.9769575662956216,-0.16,-0.24,-5.91,3.22,43.96,-2.23,-0.49,-0.56,0.0
9,USDCAD1440,DQN,1.0027167246557855,0.04,0.05,-11.33,5.2,63.33,0.27,0.06,0.07,0.0
10,USDCAD1440,PPO,0.8393011642429821,-1.15,-1.45,-18.59,3.83,40.0,-16.07,-3.75,-4.29,0.0
11,USDCAD1440,TR-DQN,0.9951764686153606,-0.08,-0.11,-2.92,1.19,48.28,-0.41,-0.09,-0.1,0.0
12,USDCHF1440,A2C,1.0653449902668946,0.26,0.35,-8.54,7.21,54.9,6.53,1.39,1.6,0.0
13,USDCHF1440,DQN,0.9491837466916466,-0.17,-0.25,-13.48,6.61,45.37,-5.08,-1.13,-1.3,0.0
14,USDCHF1440,PPO,1.0944603535091717,0.41,0.7,-6.53,6.01,48.37,9.38,1.98,2.27,0.0
15,USDCHF1440,TR-DQN,0.8681376671462054,-1.71,-2.27,-14.7,2.1,23.81,-13.24,-3.05,-3.49,0.0
16,USDJPY1440,A2C,0.7710846990193647,-0.96,-1.29,-27.4,6.68,44.3,-22.89,-5.52,-6.29,0.0
17,USDJPY1440,DQN,0.7681125786329663,-1.11,-1.34,-26.84,5.92,44.66,-23.19,-5.6,-6.38,0.0
18,USDJPY1440,PPO,0.7149340486729036,-1.5,-1.89,-31.35,5.6,37.9,-28.51,-7.07,-8.05,0.0
19,USDJPY1440,TR-DQN,0.7193221400297563,-1.06,-1.34,-32.77,7.67,43.4,-28.07,-6.94,-7.91,0.0
