Total Reward,Total Profit,Ticket,Model,Start Period,End Period,Risk-Free Rate,Time in Market,Cumulative Return,CAGR﹪,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,Expected Daily,Expected Monthly,Expected Yearly,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,Avg. Up Month,Avg. Down Month,Win Days,Win Month,Win Quarter,Win Year,Action Sell,Action Buy
-223.99999999999494,0.9672116753616178,EURUSD1440,A2C,2020-10-06,2023-12-04,0.0%,22.0%,-3.46%,-0.76%,-0.19,35.12%,-0.19,-0.27,-0.27,-0.19,-0.19,0.93,-9.23%,557,4.19%,-0.08,0.01,23.13,-0.0%,-0.09%,-0.88%,-3.56%,0.0%,-0.44%,-0.44%,1,1,-0.07,-0.15,1.06,0.93,0.77,0.46,0.83,19.66,2.34,0.0%,-0.23%,-0.61%,-0.61%,-0.68%,-0.43%,-0.76%,-0.76%,-0.76%,2.39%,-2.35%,2.86%,-3.82%,-0.37%,-1.69%,-3.18%,186,0.34,0.05,-0.02,1.22%,-0.93%,46.7%,39.47%,46.15%,0.0%,330,660
-400.30000000003974,0.9669458182877636,EURUSD1440,DQN,2020-10-06,2023-12-04,0.0%,20.0%,-3.31%,-0.73%,-0.21,33.52%,-0.21,-0.29,-0.29,-0.2,-0.2,0.92,-7.78%,431,3.68%,-0.09,-0.64,15.69,-0.0%,-0.09%,-0.84%,-4.14%,0.0%,-0.38%,-0.38%,1,1,-0.08,-0.22,0.95,0.92,0.78,0.43,0.85,19.25,2.24,0.0%,-1.53%,-2.99%,-3.33%,-4.03%,-1.01%,-0.73%,-0.73%,-0.73%,1.45%,-1.75%,2.3%,-2.44%,0.92%,-3.33%,-1.69%,94,0.4,0.03,-0.04,0.74%,-0.63%,49.21%,39.47%,46.15%,50.0%,302,688
1813.5000000000446,1.0615965836933288,EURUSD1440,PPO,2020-10-06,2023-12-04,0.0%,23.0%,6.16%,1.31%,0.33,74.47%,0.33,0.49,0.49,0.35,0.35,1.13,-9.91%,462,4.98%,0.13,0.5,14.71,0.01%,0.15%,1.51%,5.62%,0.0%,-0.51%,-0.51%,1,1,0.13,0.25,1.11,1.13,1.21,0.63,1.07,20.79,2.55,0.03%,-1.53%,-5.15%,-3.66%,-4.23%,2.14%,1.31%,1.31%,1.31%,2.14%,-2.01%,4.55%,-2.93%,9.55%,-3.66%,-2.64%,115,0.65,0.04,0.06,1.41%,-1.61%,50.44%,58.97%,53.85%,50.0%,618,372
-3136.6999999999607,0.8668337499572504,EURUSD1440,TR-DQN,2020-10-06,2023-12-04,0.0%,16.0%,-13.32%,-3.07%,-1.28,0.47%,-1.27,-1.6,-1.59,-1.13,-1.12,0.57,-13.21%,1122,2.81%,-0.23,-0.98,20.01,-0.01%,-0.37%,-3.51%,-27.66%,0.0%,-0.31%,-0.31%,1,1,-0.43,-0.67,0.99,0.57,0.07,0.21,0.12,29.1,2.26,0.0%,-0.63%,-3.16%,-7.35%,-6.94%,-2.86%,-3.07%,-3.07%,-3.07%,1.3%,-1.18%,2.95%,-2.47%,-1.45%,-7.35%,-13.21%,1122,1.07,0.07,-0.03,0.59%,-0.81%,36.6%,31.58%,23.08%,0.0%,196,794
-384.79999999999274,0.9346357201223017,GBPUSD1440,A2C,2020-10-06,2023-12-04,0.0%,26.0%,-6.2%,-1.39%,-0.26,30.34%,-0.26,-0.33,-0.33,-0.24,-0.24,0.91,-11.25%,1150,5.72%,-0.12,-1.76,29.51,-0.01%,-0.16%,-1.59%,-4.96%,0.0%,-0.6%,-0.6%,1,1,-0.09,-0.22,0.92,0.91,0.9,0.42,0.99,18.67,2.48,-0.15%,2.69%,0.69%,1.89%,5.69%,-0.28%,-1.39%,-1.39%,-1.39%,2.22%,-3.77%,1.69%,-5.68%,1.89%,-4.93%,-11.25%,1150,0.51,0.07,-0.03,1.14%,-1.26%,49.61%,46.15%,46.15%,50.0%,440,550
908.7999999999632,0.9949852326831222,GBPUSD1440,DQN,2020-10-06,2023-12-04,0.0%,20.0%,-0.5%,-0.11%,0.01,50.98%,0.01,0.02,0.02,0.01,0.01,1.0,-10.71%,540,6.45%,-0.01,0.29,16.82,-0.0%,-0.01%,-0.13%,0.24%,0.0%,-0.67%,-0.67%,1,1,0.0,0.01,0.99,1.0,0.94,0.5,0.94,21.57,2.02,0.62%,-0.22%,0.82%,-2.08%,0.62%,0.15%,-0.11%,-0.11%,-0.11%,2.77%,-3.01%,3.64%,-3.93%,4.77%,-2.08%,-2.98%,134,0.03,0.05,0.0,1.69%,-1.44%,50.26%,46.15%,38.46%,25.0%,688,302
1478.6000000000472,1.0073276691419837,GBPUSD1440,PPO,2020-10-06,2023-12-04,0.0%,25.0%,1.1%,0.24%,0.08,56.0%,0.08,0.11,0.11,0.08,0.08,1.03,-16.83%,426,6.05%,0.01,1.17,49.29,0.0%,0.03%,0.27%,1.48%,0.0%,-0.63%,-0.63%,1,1,0.03,0.06,1.01,1.03,1.06,0.53,1.03,16.38,1.88,-0.45%,-2.68%,-5.21%,-8.29%,-6.66%,0.23%,0.24%,0.24%,0.24%,5.05%,-3.01%,8.67%,-6.14%,9.76%,-8.29%,-2.19%,80,0.11,0.08,0.01,1.8%,-1.3%,50.41%,43.59%,53.85%,75.0%,413,577
-677.5999999999989,0.9520825626054537,GBPUSD1440,TR-DQN,2020-10-06,2023-12-04,0.0%,13.0%,-4.79%,-1.07%,-0.13,39.9%,-0.13,-0.19,-0.19,-0.13,-0.13,0.93,-15.11%,613,7.49%,-0.07,0.91,52.51,-0.0%,-0.13%,-1.22%,-3.34%,0.0%,-0.78%,-0.78%,1,1,-0.07,-0.1,1.05,0.93,0.85,0.46,0.91,25.23,1.67,-0.65%,-0.91%,-4.62%,-6.89%,-7.22%,0.63%,-1.07%,-1.07%,-1.07%,5.71%,-4.85%,7.69%,-4.85%,8.9%,-7.27%,-5.53%,220,0.25,0.09,-0.01,2.08%,-1.86%,47.15%,44.44%,46.15%,50.0%,862,128
686.0000000000153,0.9769575662956215,USDCAD1440,A2C,2020-10-06,2023-12-04,0.0%,19.0%,-2.23%,-0.49%,-0.16,37.42%,-0.16,-0.24,-0.24,-0.17,-0.17,0.94,-5.91%,540,3.22%,-0.08,0.66,18.21,-0.0%,-0.06%,-0.56%,-2.9%,0.0%,-0.34%,-0.34%,1,1,-0.06,-0.11,1.2,0.94,0.71,0.49,0.76,19.57,2.14,0.06%,-0.1%,1.18%,-0.89%,-1.71%,-0.46%,-0.49%,-0.49%,-0.49%,1.68%,-1.43%,1.7%,-3.19%,0.37%,-1.42%,-2.69%,218,0.35,0.03,-0.03,0.74%,-1.07%,43.96%,56.41%,53.85%,25.0%,222,768
232.80000000000356,1.0027167246557855,USDCAD1440,DQN,2020-10-06,2023-12-04,0.0%,4.0%,0.27%,0.06%,0.04,53.1%,0.04,0.05,0.05,0.04,0.04,1.04,-11.33%,729,5.2%,0.01,-5.15,112.73,0.0%,0.01%,0.07%,2.34%,0.0%,-0.54%,-0.54%,1,1,0.04,0.04,0.6,1.04,-,0.4,-,37.8,0.18,1.51%,-1.68%,1.52%,1.57%,1.57%,-0.98%,0.06%,0.06%,0.06%,2.57%,-5.22%,2.57%,-5.22%,2.92%,-5.08%,-11.33%,729,0.07,0.06,0.0,1.32%,-2.9%,63.33%,69.57%,63.64%,75.0%,959,31
