Ticket,Model,Weighted Score
USDCHF1440,A2C,6.7156413123298275
USDCAD1440,DQN,6.647218161141293
USDCHF1440,PPO,6.507304950802923
EURUSD1440,PPO,6.244846423593475
GBPUSD1440,PPO,5.475666257367894
GBPUSD1440,DQN,5.2262481655824695
USDCAD1440,TR-DQN,5.093376548033015
EURUSD1440,DQN,4.800962445981404
EURUSD1440,A2C,4.522351417505834
GBPUSD1440,A2C,4.447030885521058
USDCAD1440,A2C,4.415711634520295
GBPUSD1440,TR-DQN,4.359013118671825
USDCHF1440,DQN,4.154813128920297
EURUSD1440,TR-DQN,2.4410274072491944
USDCAD1440,PPO,2.3543168449494587
USDJPY1440,DQN,1.782939903275593
USDJPY1440,A2C,1.761748483231103
USDCHF1440,TR-DQN,1.3071259924388976
USDJPY1440,TR-DQN,0.9390926488663136
USDJPY1440,PPO,0.4471537574185291
