,Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses
0,EURUSD1440,A2C(LSTM),0.9672116753616178,-0.19,-0.27,-9.23,-0.07,-3.46,1
1,EURUSD1440,DQN(LSTM),0.9669458182877636,-0.21,-0.29,-7.78,-0.08,-3.31,3
2,EURUSD1440,A2C(GRU),-0.274599999999,-4.26,-5.08,-1.8,-0.5,-1.78,18
3,EURUSD1440,PPO(LSTM),0.362399999999,-2.91,-3.74,-1.67,-0.38,-1.23,18
4,EURUSD1440,PPO(GRU),1.0615965836933288,0.33,0.49,-9.91,0.13,6.16,1
5,EURUSD1440,DQN(GRU),0.8668337499572504,-1.28,-1.6,-13.21,-0.43,-13.32,7
6,GBPUSD1440,A2C(LSTM),0.9346357201223016,-0.26,-0.33,-11.25,-0.09,-6.2,4
7,GBPUSD1440,DQN(LSTM),0.9949852326831222,0.01,0.02,-10.71,0.0,-0.5,1
8,GBPUSD1440,A2C(GRU),-2.522000000024,0.18,0.27,-1.44,0.03,0.1,3
9,GBPUSD1440,PPO(LSTM),-3.938000000024,-0.46,-0.68,-1.52,-0.07,-0.27,19
10,GBPUSD1440,PPO(GRU),1.0073276691419837,0.08,0.11,-16.83,0.03,1.1,1
11,GBPUSD1440,DQN(GRU),0.9520825626054537,-0.13,-0.19,-15.11,-0.07,-4.79,1
12,USDJPY1440,A2C(LSTM),0.7710846990193647,-0.96,-1.29,-27.4,-0.31,-22.89,4
13,USDJPY1440,DQN(LSTM),0.7681125786329663,-1.11,-1.34,-26.84,-0.35,-23.19,6
14,USDJPY1440,A2C(GRU),-2.400000000096,7.26,15.34,-17.54,2.46,357.05,16
15,USDJPY1440,PPO(LSTM),-3.400000000044,-1.32,-1.8,-82.57,-0.22,-76.61,20
16,USDJPY1440,PPO(GRU),0.7149340486729036,-1.5,-1.89,-31.35,-0.43,-28.51,1
17,USDJPY1440,DQN(GRU),0.7193221400297563,-1.06,-1.34,-32.77,-0.39,-28.07,1
