Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses,Weighted Score
EURUSD1440,PPO,1.0,0.3984,0.2728,0.5275,0.8245,0.1909,1.0,0.4159
USDJPY1440,GRU,0.3076,1.0,1.0,0.5551,0.5,1.0,0.5588,0.4119
GBPUSD1440,DQN,0.9867,0.3707,0.2498,0.5303,0.8555,0.1755,1.0,0.4094
GBPUSD1440,PPO,0.9891,0.3767,0.2542,0.5524,0.8481,0.1792,1.0,0.4084
EURUSD1440,A2C,0.9811,0.3533,0.2356,0.5252,0.8732,0.1687,1.0,0.4068
GBPUSD1440,TR-DQN,0.9781,0.3585,0.2395,0.546,0.8732,0.1656,1.0,0.4047
EURUSD1440,DQN,0.9811,0.3516,0.2346,0.5203,0.8757,0.169,0.9048,0.3977
GBPUSD1440,A2C,0.9746,0.3472,0.2326,0.5322,0.8783,0.1624,0.8636,0.3901
USDJPY1440,TR-DQN,0.9315,0.2778,0.1832,0.6196,0.9642,0.1119,1.0,0.378
USDJPY1440,PPO,0.9307,0.2396,0.1562,0.613,0.9769,0.1109,1.0,0.3732
EURUSD1440,TR-DQN,0.961,0.2587,0.1704,0.5391,0.9769,0.1459,0.76,0.3695
USDJPY1440,A2C,0.9419,0.2865,0.1856,0.5952,0.9397,0.1239,0.8636,0.3688
USDJPY1440,DQN,0.9413,0.2734,0.1832,0.5928,0.9518,0.1232,0.7917,0.3613
EURUSD1440,LSTM,0.8601,0.1172,0.0656,0.5007,0.961,0.1738,0.5278,0.3065
EURUSD1440,GRU,0.7327,0.0,0.0,0.5011,1.0,0.1726,0.5278,0.2665
GBPUSD1440,GRU,0.2832,0.3854,0.262,0.5,0.8481,0.1769,0.9048,0.2644
GBPUSD1440,LSTM,0.0,0.3299,0.2155,0.5002,0.8732,0.176,0.5135,0.1608
USDJPY1440,LSTM,0.1076,0.2552,0.1606,1.0,0.9136,0.0,0.5,0.1045
