,Strategy
Start Period,2023-04-17
End Period,2023-12-04
Risk-Free Rate,0.0%
Time in Market,2.0%
Cumulative Return,-3.98%
CAGR﹪,-4.35%
Sharpe,-0.17
Prob. Sharpe Ratio,24.7%
Smart Sharpe,-0.17
Sortino,-0.22
Smart Sortino,-0.22
Sortino/√2,-0.16
Smart Sortino/√2,-0.16
Omega,0.81
Max Drawdown,-6.11%
Longest DD Days,156
Volatility (ann.),1.45%
Calmar,-0.71
Skew,-2.67
Kurtosis,205.07
Expected Daily,-0.0%
Expected Monthly,-0.45%
Expected Yearly,-3.98%
Kelly Criterion,-11.54%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.15%
Expected Shortfall (cVaR),-0.15%
Max Consecutive Wins,1
Max Consecutive Losses,1
Gain/Pain Ratio,-0.21
Gain/Pain (1M),-0.43
Payoff Ratio,0.87
Profit Factor,0.81
Common Sense Ratio,-
CPC Index,0.34
Tail Ratio,-
Outlier Win Ratio,0.0
Outlier Loss Ratio,0.01
MTD,0.07%
3M,-1.18%
6M,-2.14%
YTD,-3.98%
1Y,-3.98%
3Y (ann.),-4.35%
5Y (ann.),-4.35%
10Y (ann.),-4.35%
All-time (ann.),-4.35%
Best Day,1.72%
Worst Day,-1.93%
Best Month,2.71%
Worst Month,-4.01%
Best Year,-3.98%
Worst Year,-3.98%
Avg. Drawdown,-5.42%
Avg. Drawdown Days,108
Recovery Factor,0.64
Ulcer Index,0.03
Serenity Index,-0.03
Avg. Up Month,1.28%
Avg. Down Month,-1.8%
Win Days,48.1%
Win Month,44.44%
Win Quarter,33.33%
Win Year,0.0%
Action Sell,3872
Action Buy,79
Total Reward,-239.8999999999929
Total Profit,0.9602153991396162
Ticket,GBPUSD60
Model,A2C
