,Strategy
Start Period,2020-01-01
End Period,2035-02-19
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,-3.64%
CAGR﹪,-0.17%
Sharpe,-8.44
Prob. Sharpe Ratio,0.0%
Smart Sharpe,-5.03
Sortino,-8.49
Smart Sortino,-5.06
Sortino/√2,-6.0
Smart Sortino/√2,-3.58
Omega,0.24
Max Drawdown,-3.64%
Longest DD Days,5528
Volatility (ann.),0.03%
Calmar,-0.05
Skew,0.72
Kurtosis,6.35
Expected Daily,-0.0%
Expected Monthly,-0.02%
Expected Yearly,-0.23%
Kelly Criterion,-70.58%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.0%
Expected Shortfall (cVaR),-0.0%
Max Consecutive Wins,10
Max Consecutive Losses,77
Gain/Pain Ratio,-0.76
Gain/Pain (1M),-0.96
Payoff Ratio,0.84
Profit Factor,0.24
Common Sense Ratio,0.14
CPC Index,0.04
Tail Ratio,0.57
Outlier Win Ratio,3.19
Outlier Loss Ratio,3.41
MTD,-0.02%
3M,-0.07%
6M,-0.08%
YTD,-0.06%
1Y,-0.17%
3Y (ann.),-0.13%
5Y (ann.),-0.16%
10Y (ann.),-0.17%
All-time (ann.),-0.17%
Best Day,0.02%
Worst Day,-0.01%
Best Month,0.02%
Worst Month,-0.06%
Best Year,-0.0%
Worst Year,-0.37%
Avg. Drawdown,-3.64%
Avg. Drawdown Days,5528
Recovery Factor,1.02
Ulcer Index,0.02
Serenity Index,-0.0
Avg. Up Month,0.01%
Avg. Down Month,-0.02%
Win Days,22.29%
Win Month,14.84%
Win Quarter,9.84%
Win Year,0.0%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,9636.257000000036
Ticket,GBPUSD60
Model,GRU
