,Strategy
Start Period,2020-01-01
End Period,2035-02-19
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,-2.64%
CAGR﹪,-0.12%
Sharpe,-6.23
Prob. Sharpe Ratio,0.0%
Smart Sharpe,-3.68
Sortino,-6.97
Smart Sortino,-4.12
Sortino/√2,-4.93
Smart Sortino/√2,-2.91
Omega,0.35
Max Drawdown,-2.64%
Longest DD Days,5528
Volatility (ann.),0.03%
Calmar,-0.05
Skew,0.79
Kurtosis,6.29
Expected Daily,-0.0%
Expected Monthly,-0.01%
Expected Yearly,-0.17%
Kelly Criterion,-51.57%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.0%
Expected Shortfall (cVaR),-0.0%
Max Consecutive Wins,10
Max Consecutive Losses,61
Gain/Pain Ratio,-0.65
Gain/Pain (1M),-0.92
Payoff Ratio,0.92
Profit Factor,0.35
Common Sense Ratio,0.24
CPC Index,0.09
Tail Ratio,0.7
Outlier Win Ratio,3.32
Outlier Loss Ratio,3.51
MTD,-0.01%
3M,-0.03%
6M,-0.04%
YTD,-0.02%
1Y,-0.07%
3Y (ann.),-0.09%
5Y (ann.),-0.12%
10Y (ann.),-0.13%
All-time (ann.),-0.12%
Best Day,0.02%
Worst Day,-0.01%
Best Month,0.02%
Worst Month,-0.05%
Best Year,0.01%
Worst Year,-0.34%
Avg. Drawdown,-2.64%
Avg. Drawdown Days,5528
Recovery Factor,1.01
Ulcer Index,0.02
Serenity Index,-0.0
Avg. Up Month,0.01%
Avg. Down Month,-0.02%
Win Days,27.23%
Win Month,20.88%
Win Quarter,14.75%
Win Year,6.25%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,9736.193000000038
Ticket,GBPUSD60
Model,LSTM
