,Strategy
Start Period,2023-04-17
End Period,2023-12-04
Risk-Free Rate,0.0%
Time in Market,17.0%
Cumulative Return,-4.99%
CAGR﹪,-5.46%
Sharpe,-0.34
Prob. Sharpe Ratio,9.5%
Smart Sharpe,-0.34
Sortino,-0.5
Smart Sortino,-0.5
Sortino/√2,-0.36
Smart Sortino/√2,-0.36
Omega,0.85
Max Drawdown,-6.73%
Longest DD Days,230
Volatility (ann.),0.94%
Calmar,-0.81
Skew,3.26
Kurtosis,113.76
Expected Daily,-0.0%
Expected Monthly,-0.57%
Expected Yearly,-4.99%
Kelly Criterion,-8.23%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.1%
Expected Shortfall (cVaR),-0.1%
Max Consecutive Wins,1
Max Consecutive Losses,1
Gain/Pain Ratio,-0.25
Gain/Pain (1M),-0.6
Payoff Ratio,1.02
Profit Factor,0.85
Common Sense Ratio,0.62
CPC Index,0.39
Tail Ratio,0.73
Outlier Win Ratio,21.84
Outlier Loss Ratio,2.27
MTD,-0.13%
3M,-1.46%
6M,-2.25%
YTD,-4.99%
1Y,-4.99%
3Y (ann.),-5.46%
5Y (ann.),-5.46%
10Y (ann.),-5.46%
All-time (ann.),-5.46%
Best Day,1.42%
Worst Day,-0.71%
Best Month,1.72%
Worst Month,-2.07%
Best Year,-4.99%
Worst Year,-4.99%
Avg. Drawdown,-3.4%
Avg. Drawdown Days,116
Recovery Factor,0.75
Ulcer Index,0.04
Serenity Index,-0.01
Avg. Up Month,1.69%
Avg. Down Month,-1.2%
Win Days,45.45%
Win Month,22.22%
Win Quarter,33.33%
Win Year,0.0%
Action Sell,1401
Action Buy,2550
Total Reward,-14939.99999998356
Total Profit,0.9500534702606271
Ticket,USDJPY60
Model,DQN
