,Strategy
Start Period,2020-01-01
End Period,2035-02-19
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,250.62%
CAGR﹪,5.89%
Sharpe,4.7
Prob. Sharpe Ratio,100.0%
Smart Sharpe,2.89
Sortino,9.84
Smart Sortino,6.04
Sortino/√2,6.96
Smart Sortino/√2,4.27
Omega,2.72
Max Drawdown,-5.27%
Longest DD Days,290
Volatility (ann.),1.71%
Calmar,1.12
Skew,1.44
Kurtosis,11.32
Expected Daily,0.03%
Expected Monthly,0.69%
Expected Yearly,8.16%
Kelly Criterion,41.69%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.14%
Expected Shortfall (cVaR),-0.14%
Max Consecutive Wins,37
Max Consecutive Losses,12
Gain/Pain Ratio,1.72
Gain/Pain (1M),5.53
Payoff Ratio,1.41
Profit Factor,2.72
Common Sense Ratio,5.41
CPC Index,2.53
Tail Ratio,1.99
Outlier Win Ratio,5.31
Outlier Loss Ratio,4.2
MTD,0.05%
3M,0.14%
6M,0.51%
YTD,0.4%
1Y,-0.01%
3Y (ann.),1.17%
5Y (ann.),2.09%
10Y (ann.),3.61%
All-time (ann.),5.89%
Best Day,1.09%
Worst Day,-0.79%
Best Month,6.17%
Worst Month,-2.37%
Best Year,21.34%
Worst Year,-0.27%
Avg. Drawdown,-0.15%
Avg. Drawdown Days,10
Recovery Factor,23.86
Ulcer Index,0.01
Serenity Index,6.44
Avg. Up Month,1.04%
Avg. Down Month,-0.6%
Win Days,65.91%
Win Month,79.12%
Win Quarter,90.16%
Win Year,93.75%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,35122.90000000009
Ticket,USDJPY60
Model,GRU
