,Strategy
Start Period,2020-01-01
End Period,2035-02-19
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,244.1%
CAGR﹪,5.8%
Sharpe,4.77
Prob. Sharpe Ratio,100.0%
Smart Sharpe,2.93
Sortino,10.22
Smart Sortino,6.27
Sortino/√2,7.23
Smart Sortino/√2,4.43
Omega,2.75
Max Drawdown,-4.74%
Longest DD Days,452
Volatility (ann.),1.66%
Calmar,1.22
Skew,1.5
Kurtosis,11.42
Expected Daily,0.03%
Expected Monthly,0.68%
Expected Yearly,8.03%
Kelly Criterion,41.43%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.14%
Expected Shortfall (cVaR),-0.14%
Max Consecutive Wins,37
Max Consecutive Losses,17
Gain/Pain Ratio,1.75
Gain/Pain (1M),5.86
Payoff Ratio,1.48
Profit Factor,2.75
Common Sense Ratio,5.65
CPC Index,2.65
Tail Ratio,2.05
Outlier Win Ratio,5.2
Outlier Loss Ratio,4.15
MTD,0.37%
3M,0.19%
6M,0.34%
YTD,0.46%
1Y,-0.13%
3Y (ann.),0.85%
5Y (ann.),1.78%
10Y (ann.),3.22%
All-time (ann.),5.8%
Best Day,1.06%
Worst Day,-0.79%
Best Month,6.02%
Worst Month,-2.1%
Best Year,22.51%
Worst Year,-0.74%
Avg. Drawdown,-0.15%
Avg. Drawdown Days,11
Recovery Factor,26.1
Ulcer Index,0.01
Serenity Index,6.45
Avg. Up Month,1.01%
Avg. Down Month,-0.55%
Win Days,65.05%
Win Month,79.12%
Win Quarter,86.89%
Win Year,93.75%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,34470.30000000011
Ticket,USDJPY60
Model,LSTM
