,Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Volatility (ann.),Win Days,Cumulative Return,CAGR﹪,Expected Yearly,Risk of Ruin
0,EURUSD60,A2C,0.942802763271697,-0.26,-0.35,-7.81,1.42,43.32,-5.72,-6.25,-5.72,0.0
1,EURUSD60,DQN,0.8657141959754614,-1.15,-1.44,-13.76,0.79,35.82,-13.43,-14.61,-13.43,0.0
2,EURUSD60,PPO,0.7577541328868922,-1.54,-1.94,-24.47,1.14,34.55,-24.22,-26.21,-24.22,0.0
3,EURUSD60,TR-DQN,0.9576609915059828,-1.11,-1.28,-4.06,0.24,25.93,-4.06,-4.44,-4.06,0.0
4,GBPUSD60,A2C,0.9602153991396162,-0.17,-0.22,-6.11,1.45,48.1,-3.98,-4.35,-3.98,0.0
5,GBPUSD60,DQN,0.9487294014577096,-0.23,-0.29,-7.18,1.41,47.86,-5.13,-5.6,-5.13,0.0
6,GBPUSD60,PPO,0.8054274220623565,-1.42,-1.75,-19.62,0.97,39.42,-19.46,-21.11,-19.46,0.0
7,GBPUSD60,TR-DQN,0.9596249899183869,-0.19,-0.26,-6.18,1.31,43.81,-4.04,-4.42,-4.04,0.0
8,USDCAD60,A2C,0.9778291186373969,-0.11,-0.16,-6.05,1.24,44.9,-2.22,-2.43,-2.22,0.0
9,USDCAD60,DQN,0.8504618396710256,-1.28,-1.63,-14.95,0.8,38.62,-14.95,-16.26,-14.95,0.0
10,USDCAD60,PPO,0.8402368403623249,-1.33,-1.77,-16.24,0.83,39.59,-15.97,-17.36,-15.97,0.0
11,USDCAD60,TR-DQN,0.9937627764860348,-0.17,-0.26,-1.6,0.23,37.89,-0.62,-0.68,-0.62,0.0
12,USDCHF60,A2C,0.7429378668396237,-1.58,-2.03,-25.82,1.19,34.29,-25.71,-27.79,-25.71,0.0
13,USDCHF60,DQN,0.9522301313721324,-1.23,-1.37,-4.93,0.26,29.13,-4.88,-5.34,-4.88,0.0
14,USDCHF60,PPO,0.7154540578161144,-1.77,-2.3,-28.81,1.2,32.76,-28.45,-30.71,-28.45,0.0
15,USDCHF60,TR-DQN,0.8330758049974074,-0.86,-1.16,-17.75,1.34,36.0,-16.69,-18.14,-16.69,0.0
16,USDJPY60,A2C,0.9704950024795624,-0.18,-0.27,-4.9,1.01,47.19,-2.95,-3.22,-2.95,0.0
17,USDJPY60,DQN,0.9500534702606273,-0.34,-0.5,-6.73,0.94,45.45,-4.99,-5.46,-4.99,0.0
18,USDJPY60,PPO,0.9550670605539904,-0.24,-0.33,-10.01,1.21,47.43,-4.49,-4.91,-4.49,0.0
19,USDJPY60,TR-DQN,0.9915495096903896,-0.04,-0.06,-5.0,1.13,47.34,-0.84,-0.92,-0.84,0.0
