Ticket,Model,Weighted Score
USDJPY60,TR-DQN,4.859049746757797
USDJPY60,A2C,4.292494951191662
USDCAD60,A2C,4.2567113647136
GBPUSD60,A2C,4.118219869977856
USDCAD60,TR-DQN,3.9515532528557515
USDJPY60,PPO,3.920610693452153
GBPUSD60,DQN,3.795689877505939
GBPUSD60,TR-DQN,3.672594318927103
USDJPY60,DQN,3.5870491376082434
EURUSD60,A2C,3.1877469896949524
USDCHF60,DQN,1.9758921180391023
EURUSD60,TR-DQN,1.8677091195647513
EURUSD60,DQN,0.430376514576713
USDCAD60,DQN,0.31483552006231286
USDCAD60,PPO,0.14739706740914557
USDCHF60,TR-DQN,-0.39591819001999906
GBPUSD60,PPO,-0.7733748793235634
EURUSD60,PPO,-2.4921506020318636
USDCHF60,A2C,-2.9021809441281143
USDCHF60,PPO,-3.7632798878850093
