,Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses
0,EURUSD60,A2C(LSTM),0.942802763271697,-0.26,-0.35,-7.81,-0.21,-5.72,1
1,EURUSD60,DQN(LSTM),0.8657141959754614,-1.15,-1.44,-13.76,-0.62,-13.43,3
2,EURUSD60,A2C(GRU),-0.96223,-11.14,-10.03,-3.7,-0.84,-3.7,71
3,EURUSD60,PPO(LSTM),-2.743000000037,-11.53,-10.22,-3.83,-0.85,-3.83,78
4,EURUSD60,PPO(GRU),0.7577541328868922,-1.54,-1.94,-24.47,-0.7,-24.22,4
5,EURUSD60,DQN(GRU),0.9576609915059828,-1.11,-1.28,-4.06,-0.73,-4.06,1
6,GBPUSD60,A2C(LSTM),0.9602153991396162,-0.17,-0.22,-6.11,-0.21,-3.98,3
7,GBPUSD60,DQN(LSTM),0.9487294014577096,-0.23,-0.29,-7.18,-0.23,-5.13,1
8,GBPUSD60,A2C(GRU),-2.257000000036,-8.44,-8.49,-3.64,-0.76,-3.64,77
9,GBPUSD60,PPO(LSTM),-1.193000000038,-6.23,-6.97,-2.64,-0.65,-2.64,31
10,GBPUSD60,PPO(GRU),0.8054274220623565,-1.42,-1.75,-19.62,-0.69,-19.46,1
11,GBPUSD60,DQN(GRU),0.9596249899183869,-0.19,-0.26,-6.18,-0.19,-4.04,5
12,USDJPY60,A2C(LSTM),0.9704950024795624,-0.18,-0.27,-4.9,-0.15,-2.95,2
13,USDJPY60,DQN(LSTM),0.9500534702606273,-0.34,-0.5,-6.73,-0.25,-4.99,1
14,USDJPY60,A2C(GRU),-0.90000000009,4.7,9.84,-5.27,1.72,250.62,12
15,USDJPY60,PPO(LSTM),-0.70000000011,4.77,10.22,-4.74,1.75,244.1,17
16,USDJPY60,PPO(GRU),0.9550670605539904,-0.24,-0.33,-10.01,-0.19,-4.49,1
17,USDJPY60,DQN(GRU),0.9915495096903896,-0.04,-0.06,-5.0,-0.03,-0.84,2
