Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses,Weighted Score
USDJPY60,LSTM,0.5471,1.0,1.0,0.5253,0.5,0.9763,0.828,0.4873
USDJPY60,GRU,0.4935,0.9957,0.9814,0.532,0.5029,1.0,0.875,0.481
EURUSD60,TR-DQN,0.9909,0.6393,0.4374,0.5168,0.9559,0.0734,1.0,0.4571
USDJPY60,TR-DQN,1.0,0.7049,0.4971,0.5286,0.7602,0.0851,0.9872,0.4506
USDJPY60,A2C,0.9944,0.6963,0.4868,0.5273,0.7879,0.0774,0.9872,0.4497
GBPUSD60,A2C,0.9916,0.6969,0.4892,0.5432,0.8025,0.0736,0.9747,0.4477
GBPUSD60,DQN,0.9885,0.6933,0.4858,0.558,0.8075,0.0695,1.0,0.4475
USDJPY60,DQN,0.9889,0.6865,0.4755,0.5517,0.8125,0.07,1.0,0.4471
EURUSD60,A2C,0.9869,0.6914,0.4829,0.5672,0.8025,0.0673,1.0,0.4451
GBPUSD60,TR-DQN,0.9915,0.6957,0.4873,0.5441,0.7975,0.0734,0.9506,0.4443
USDJPY60,PPO,0.9902,0.6926,0.4839,0.6015,0.7975,0.0718,1.0,0.4425
EURUSD60,DQN,0.9663,0.6368,0.4295,0.6709,0.9187,0.0393,0.9747,0.4261
GBPUSD60,PPO,0.9502,0.6202,0.4144,0.8182,0.942,0.0173,1.0,0.4076
EURUSD60,PPO,0.9374,0.6129,0.4051,1.0,0.9455,0.0,0.9625,0.3801
GBPUSD60,LSTM,0.415,0.3252,0.159,0.5,0.9286,0.0785,0.7196,0.2541
EURUSD60,GRU,0.4768,0.0239,0.0093,0.5124,0.9962,0.0747,0.5238,0.2069
GBPUSD60,GRU,0.1301,0.1896,0.0846,0.5117,0.9665,0.0749,0.5033,0.1567
EURUSD60,LSTM,0.0,0.0,0.0,0.514,1.0,0.0742,0.5,0.106
