,Strategy
Start Period,2020-01-01
End Period,2034-06-19
Risk-Free Rate,0.0%
Time in Market,100.0%
Cumulative Return,-3.66%
CAGR﹪,-0.18%
Sharpe,-38.91
Prob. Sharpe Ratio,0.0%
Smart Sharpe,-24.33
Sortino,-14.83
Smart Sortino,-9.27
Sortino/√2,-10.49
Smart Sortino/√2,-6.56
Omega,0.01
Max Drawdown,-3.67%
Longest DD Days,5257
Volatility (ann.),0.01%
Calmar,-0.05
Skew,2.52
Kurtosis,39.65
Expected Daily,-0.0%
Expected Monthly,-0.02%
Expected Yearly,-0.25%
Kelly Criterion,-171.98%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.0%
Expected Shortfall (cVaR),-0.0%
Max Consecutive Wins,3
Max Consecutive Losses,557
Gain/Pain Ratio,-0.99
Gain/Pain (1M),-1.0
Payoff Ratio,0.57
Profit Factor,0.01
Common Sense Ratio,0.0
CPC Index,0.0
Tail Ratio,0.25
Outlier Win Ratio,0.24
Outlier Loss Ratio,1.92
MTD,-0.0%
3M,-0.05%
6M,-0.13%
YTD,-0.12%
1Y,-0.26%
3Y (ann.),-0.2%
5Y (ann.),-0.19%
10Y (ann.),-0.18%
All-time (ann.),-0.18%
Best Day,0.01%
Worst Day,-0.0%
Best Month,0.0%
Worst Month,-0.03%
Best Year,-0.12%
Worst Year,-0.3%
Avg. Drawdown,-0.92%
Avg. Drawdown Days,1319
Recovery Factor,1.02
Ulcer Index,0.02
Serenity Index,-0.0
Avg. Up Month,0.0%
Avg. Down Month,-0.02%
Win Days,1.38%
Win Month,0.57%
Win Quarter,0.0%
Win Year,0.0%
Action Sell,0
Action Buy,0
Total Reward,0
Total Profit,9633.985000000072
Ticket,EURUSD5
Model,GRU
