,Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses
0, EURUSD5,A2C(LSTM),2.8476846359866231,-3.05,-3.31,-15.23,-1.0,-15.23,1
1, EURUSD5,DQN(LSTM),0.9336391898048766,-1.34,-1.67,-6.85,-0.96,-6.64,1
2,EURUSD5,A2C(GRU),-5.985000000072,-38.91,-14.83,-3.67,-0.99,-3.66,100
3,EURUSD5,PPO(LSTM),-4.839000000064,-42.05,-14.97,-3.95,-0.99,-3.94,80
4, EURUSD5,PPO(GRU),0.7857373075199054,-4.35,-4.6,-21.35,-1.0,-21.43,2
5, EURUSD5,DQN(GRU),0.883051301955549,-2.43,-2.72,-11.69,-1.0,-11.69,1
6, GBPUSD5,A2C(LSTM),2.7976817936821686,-4.75,-4.86,-20.23,-1.0,-20.23,1
7, GBPUSD5,DQN(LSTM),0.8903385501913685,-3.0,-3.28,-10.9,-1.0,-10.9,1
8,GBPUSD5,A2C(GRU),-2.936000000029,-27.48,-14.11,-3.48,-0.98,-3.47,50
9,GBPUSD5,PPO(LSTM),-2.702000000034,-27.22,-14.09,-3.44,-0.98,-3.42,40
10, GBPUSD5,PPO(GRU),0.7899698880063429,-4.71,-4.83,-20.95,-1.0,-20.95,1
11, GBPUSD5,DQN(GRU),0.9637914323744016,-0.64,-0.76,-4.08,-0.81,-3.62,3
12, USDCAD5,A2C(LSTM),2.9093720822471544,-2.16,-2.49,-9.17,-1.0,-9.06,1
13, USDCAD5,DQN(LSTM),0.973923004609374,-2.01,-2.11,-2.64,-1.0,-2.58,1
14,USDCAD5,A2C(GRU),-2.808000000086,-37.12,-14.65,-3.72,-0.99,-3.72,10
15,USDCAD5,PPO(LSTM),-2.168000000083,-37.08,-14.65,-3.72,-0.99,-3.72,21
16, USDCAD5,PPO(GRU),0.8202445638015142,-5.09,-5.14,-17.97,-1.0,-17.98,2
17, USDCAD5,DQN(GRU),-2.9151905797894802,-1.78,-2.32,-8.78,-1.0,-8.48,1
