66,67,68,69,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Total Reward,Total Profit,Ticket,Model,Start Period,End Period,Risk-Free Rate,Time in Market,Cumulative Return,CAGR﹪,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,Expected Daily,Expected Monthly,Expected Yearly,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,Avg. Up Month,Avg. Down Month,Win Days,Win Month,Win Quarter,Win Year,Action Sell,Action Buy
-61.19999999999705,0.8476846359866231, EURUSD5,A2C,2023-11-14,2023-12-01,0.0%,16.0%,-15.23%,-91.37%,-3.05,0.0%,-2.94,-3.31,-3.19,-2.34,-2.26,0.22,-15.23%,18,0.36%,-6.0,-3.4,43.96,-0.0%,-7.93%,-15.23%,-71.29%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,0.87,0.22,0.0,0.04,0.0,31.98,2.11,-1.55%,-15.23%,-15.23%,-15.23%,-15.23%,-91.37%,-91.37%,-91.37%,-91.37%,0.19%,-0.37%,-1.55%,-13.9%,-15.23%,-15.23%,-15.23%,18,1.08,0.09,-0.0,-,-7.72%,20.24%,0.0%,0.0%,0.0%,3045,731
-28.899999999965093,0.9336391898048766, EURUSD5,DQN,2023-11-14,2023-12-01,0.0%,7.0%,-6.64%,-63.86%,-1.34,0.0%,-1.33,-1.67,-1.66,-1.18,-1.17,0.33,-6.85%,18,0.34%,-9.33,0.26,145.69,-0.0%,-3.37%,-6.64%,-45.78%,0.0%,-0.04%,-0.04%,1,1,-0.96,-1.0,1.14,0.33,-,0.08,-,15.72,1.29,-0.23%,-6.64%,-6.64%,-6.64%,-6.64%,-63.86%,-63.86%,-63.86%,-63.86%,0.49%,-0.33%,-0.23%,-6.42%,-6.64%,-6.64%,-6.85%,18,1.0,0.04,-0.0,-,-3.33%,22.5%,0.0%,0.0%,0.0%,3467,309
0,9633.985000000072,EURUSD5,GRU,2020-01-01,2034-06-19,0.0%,100.0%,-3.66%,-0.18%,-38.91,0.0%,-24.33,-14.83,-9.27,-10.49,-6.56,0.01,-3.67%,5257,0.01%,-0.05,2.52,39.65,-0.0%,-0.02%,-0.25%,-171.98%,0.0%,-0.0%,-0.0%,3,557,-0.99,-1.0,0.57,0.01,0.0,0.0,0.25,0.24,1.92,-0.0%,-0.05%,-0.13%,-0.12%,-0.26%,-0.2%,-0.19%,-0.18%,-0.18%,0.01%,-0.0%,0.0%,-0.03%,-0.12%,-0.3%,-0.92%,1319,1.02,0.02,-0.0,0.0%,-0.02%,1.38%,0.57%,0.0%,0.0%,0,0
0,9605.839000000064,EURUSD5,LSTM,2020-01-01,2034-06-19,0.0%,100.0%,-3.94%,-0.19%,-42.05,0.0%,-25.31,-14.97,-9.01,-10.58,-6.37,0.01,-3.95%,5257,0.01%,-0.05,2.59,42.0,-0.0%,-0.02%,-0.27%,-163.54%,0.0%,-0.0%,-0.0%,3,557,-0.99,-1.0,0.6,0.01,0.0,0.0,0.29,0.02,1.86,-0.01%,-0.06%,-0.14%,-0.13%,-0.28%,-0.21%,-0.2%,-0.2%,-0.19%,0.01%,-0.0%,0.0%,-0.04%,-0.13%,-0.31%,-0.99%,1319,1.02,0.02,-0.0,0.0%,-0.02%,1.09%,0.57%,0.0%,0.0%,0,0
-46.000000000034845,0.7857373075199054, EURUSD5,PPO,2023-11-14,2023-12-01,0.0%,23.0%,-21.43%,-97.2%,-4.35,0.0%,-4.04,-4.6,-4.26,-3.25,-3.02,0.15,-21.35%,18,0.37%,-4.55,-2.32,39.67,-0.01%,-11.36%,-21.43%,-85.96%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,0.83,0.15,0.0,0.02,0.0,24.19,2.35,-1.99%,-21.43%,-21.43%,-21.43%,-21.43%,-97.2%,-97.2%,-97.2%,-97.2%,0.28%,-0.37%,-1.99%,-19.83%,-21.43%,-21.43%,-21.35%,18,1.13,0.13,-0.0,-,-10.91%,15.62%,0.0%,0.0%,0.0%,2393,1383
-116.80000000000568,0.883051301955549, EURUSD5,TR-DQN,2023-11-14,2023-12-01,0.0%,12.0%,-11.69%,-84.18%,-2.43,0.0%,-2.38,-2.72,-2.66,-1.92,-1.88,0.24,-11.69%,18,0.34%,-7.2,-4.04,78.41,-0.0%,-6.03%,-11.69%,-61.7%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,1.0,0.24,0.0,0.05,0.0,28.44,1.94,-0.74%,-11.69%,-11.69%,-11.69%,-11.69%,-84.18%,-84.18%,-84.18%,-84.18%,0.22%,-0.43%,-0.74%,-11.04%,-11.69%,-11.69%,-11.69%,18,1.06,0.07,-0.0,-,-5.89%,19.16%,0.0%,0.0%,0.0%,3193,583
-6.500000000060606,0.7976817936821686, GBPUSD5,A2C,2023-11-14,2023-12-01,0.0%,24.0%,-20.23%,-96.49%,-4.75,0.0%,-4.34,-4.86,-4.44,-3.44,-3.14,0.14,-20.23%,18,0.32%,-4.77,-2.38,17.38,-0.01%,-10.69%,-20.23%,-96.38%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,0.75,0.14,0.0,0.02,0.0,26.07,2.4,-1.58%,-20.23%,-20.23%,-20.23%,-20.23%,-96.49%,-96.49%,-96.49%,-96.49%,0.16%,-0.21%,-1.58%,-18.95%,-20.23%,-20.23%,-20.23%,18,1.12,0.12,-0.0,-,-10.27%,16.11%,0.0%,0.0%,0.0%,1501,2275
409.09999999994477,0.8903385501913685, GBPUSD5,DQN,2023-11-14,2023-12-01,0.0%,14.0%,-10.9%,-81.93%,-3.0,0.0%,-2.89,-3.28,-3.16,-2.32,-2.24,0.2,-10.9%,18,0.26%,-7.52,-2.88,48.98,-0.0%,-5.61%,-10.9%,-75.75%,0.0%,-0.03%,-0.03%,1,1,-1.0,-1.0,0.86,0.2,0.0,0.03,0.0,30.32,1.95,-1.38%,-10.9%,-10.9%,-10.9%,-10.9%,-81.93%,-81.93%,-81.93%,-81.93%,0.2%,-0.24%,-1.38%,-9.65%,-10.9%,-10.9%,-10.9%,18,1.06,0.06,-0.0,-,-5.52%,18.55%,0.0%,0.0%,0.0%,713,3063
