,Strategy
Start Period,2023-11-14
End Period,2023-12-01
Risk-Free Rate,0.0%
Time in Market,19.0%
Cumulative Return,2.15%
CAGR﹪,37.16%
Sharpe,0.3
Prob. Sharpe Ratio,87.93%
Smart Sharpe,0.3
Sortino,0.45
Smart Sortino,0.45
Sortino/√2,0.32
Smart Sortino/√2,0.32
Omega,1.16
Max Drawdown,-1.25%
Longest DD Days,8
Volatility (ann.),0.48%
Calmar,29.8
Skew,0.7
Kurtosis,77.01
Expected Daily,0.0%
Expected Monthly,1.07%
Expected Yearly,2.15%
Kelly Criterion,7.15%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.05%
Expected Shortfall (cVaR),-0.05%
Max Consecutive Wins,1
Max Consecutive Losses,1
Gain/Pain Ratio,1.06
Gain/Pain (1M),-
Payoff Ratio,1.09
Profit Factor,1.16
Common Sense Ratio,1.36
CPC Index,0.65
Tail Ratio,1.17
Outlier Win Ratio,21.59
Outlier Loss Ratio,2.05
MTD,0.58%
3M,2.15%
6M,2.15%
YTD,2.15%
1Y,2.15%
3Y (ann.),37.16%
5Y (ann.),37.16%
10Y (ann.),37.16%
All-time (ann.),37.16%
Best Day,0.51%
Worst Day,-0.46%
Best Month,1.57%
Worst Month,0.58%
Best Year,2.15%
Worst Year,2.15%
Avg. Drawdown,-0.31%
Avg. Drawdown Days,2
Recovery Factor,1.72
Ulcer Index,0.01
Serenity Index,0.09
Avg. Up Month,1.07%
Avg. Down Month,-
Win Days,51.55%
Win Month,100.0%
Win Quarter,100.0%
Win Year,100.0%
Action Sell,2595
Action Buy,1181
Total Reward,28809.9999999992
Total Profit,1.0215439047685737
Ticket, USDJPY5
Model,TR-DQN
