Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses,Weighted Score
 GBPUSD5,TR-DQN,0.7813,1.0,1.0,0.9615,1.0,0.9448,0.5101,0.5056
 USDCAD5,A2C,1.0,0.9633,0.8783,0.8255,0.5,0.6562,0.5,0.4672
 EURUSD5,DQN,0.7779,0.9831,0.936,0.8875,0.6053,0.7846,0.5,0.4477
 USDCAD5,DQN,0.7824,0.9669,0.905,1.0,0.5,1.0,0.5,0.4437
 EURUSD5,A2C,0.9931,0.9418,0.8205,0.6635,0.5,0.3289,0.5,0.4414
 EURUSD5,TR-DQN,0.7722,0.9568,0.8621,0.7582,0.5,0.5167,0.5,0.4122
 GBPUSD5,A2C,0.9874,0.9007,0.7115,0.5299,0.5,0.0637,0.5,0.4121
 GBPUSD5,DQN,0.773,0.943,0.8227,0.7793,0.5,0.5586,0.5,0.4091
 USDCAD5,PPO,0.7651,0.8925,0.6918,0.5903,0.5,0.183,0.5051,0.3712
 EURUSD5,PPO,0.7612,0.9104,0.7298,0.5,0.5,0.0,0.5051,0.3668
 GBPUSD5,PPO,0.7617,0.9017,0.7136,0.5107,0.5,0.0255,0.5,0.3653
 USDCAD5,TR-DQN,0.3451,0.9725,0.8902,0.8359,0.5,0.687,0.5,0.3404
GBPUSD5,LSTM,0.3691,0.3581,0.0619,0.9786,0.5526,0.9554,0.697,0.2385
GBPUSD5,GRU,0.3428,0.3518,0.0605,0.9776,0.5526,0.9528,0.7475,0.2373
USDCAD5,LSTM,0.4291,0.12,0.0225,0.9711,0.5263,0.9395,0.601,0.2097
USDCAD5,GRU,0.3572,0.1191,0.0225,0.9711,0.5263,0.9395,0.5455,0.1896
EURUSD5,LSTM,0.1288,0.0,0.0,0.965,0.5263,0.9279,0.899,0.1646
EURUSD5,GRU,0.0,0.0758,0.0099,0.9725,0.5263,0.9427,1.0,0.1582
