Ticket,Model,Total Profit,Sharpe,Sortino,Max Drawdown,Gain/Pain Ratio,Cumulative Return,Max Consecutive Losses,MSE,Weighted Score
 USDCAD5,A2C(LSTM),1.0,0.9633,0.8783,0.6057,1.0,0.6562,1.0,0.0118,0.588
 USDCAD5,DQN(LSTM),0.7824,0.9669,0.905,0.5,1.0,1.0,1.0,0.1767,0.576
 EURUSD5,DQN(LSTM),0.7779,0.9831,0.936,0.5634,0.8261,0.7846,1.0,0.1962,0.5326
 EURUSD5,A2C(LSTM),0.9931,0.9418,0.8205,0.7535,1.0,0.3289,1.0,0.0,0.5324
 GBPUSD5,DQN(GRU),0.7813,1.0,1.0,0.52,0.5,0.9448,0.9802,0.1923,0.5275
 GBPUSD5,DQN(LSTM),0.773,0.943,0.8227,0.6416,1.0,0.5586,1.0,0.0684,0.516
 EURUSD5,DQN(GRU),0.7722,0.9568,0.8621,0.6595,1.0,0.5167,1.0,0.1271,0.5093
 GBPUSD5,A2C(LSTM),0.9874,0.9007,0.7115,0.9435,1.0,0.0637,1.0,0.0048,0.4702
 USDCAD5,PPO(GRU),0.7651,0.8925,0.6918,0.847,1.0,0.183,0.99,0.0838,0.4357
 USDCAD5,DQN(GRU),0.3451,0.9725,0.8902,0.5981,1.0,0.687,1.0,0.5757,0.4066
 EURUSD5,PPO(GRU),0.7612,0.9104,0.7298,1.0,1.0,0.0,0.99,0.0971,0.4056
 GBPUSD5,PPO(GRU),0.7617,0.9017,0.7136,0.9791,1.0,0.0255,1.0,0.1469,0.4038
USDCAD5,A2C(GRU),0.3572,0.1191,0.0225,0.5149,0.95,0.9395,0.9167,0.0536,0.3094
GBPUSD5,PPO(LSTM),0.3691,0.3581,0.0619,0.5109,0.9048,0.9554,0.7174,0.1918,0.3033
GBPUSD5,A2C(GRU),0.3428,0.3518,0.0605,0.5115,0.9048,0.9528,0.6689,0.5571,0.2556
USDCAD5,PPO(LSTM),0.4291,0.12,0.0225,0.5149,0.95,0.9395,0.8319,0.6923,0.2515
EURUSD5,PPO(LSTM),0.1288,0.0,0.0,0.5181,0.95,0.9279,0.5562,0.0528,0.2121
EURUSD5,A2C(GRU),0.0,0.0758,0.0099,0.5142,0.95,0.9427,0.5,1.0,0.0964
